DNR Peat Inventory ID #,U_Sampnum,U_Top Depth (cm),U_Bottom Depth (cm),U_Total Carbon (%),U_Hydrogen (%),U_Nitrogen (%),U_Sulfur (%),U_Oxygen (%),U_Uniq_id,U_Depthnum
KOOC-2815625-1,2866,35,150.0,53.2,5.4,1.3,0.2,32.8,568,1
KOOC-2815625-2,2870,35,50.0,52.4,5.6,2.6,0.3,29.2,569,1
KOOC-2815625-2,2871,85,100.0,52.5,4.9,1.7,0.3,31.2,570,2
KOOC-2815625-2,2872,115,130.0,49.4,4.6,1.9,0.8,29.1,571,3
KOOC-2815626-1,5200,0,30.0,49.6,5.5,1.7,0.2,34.6,572,1
KOOC-2815626-1,5201,30,61.0,50.4,5.6,1.8,0.1,35.6,573,2
KOOC-2815626-1,5202,61,91.0,50.9,5.6,1.6,0.1,36.3,574,3
KOOC-2815626-1,5203,91,122.0,51.6,5.5,1.8,0.1,35.8,575,4
KOOC-2815626-1,5204,122,152.0,51.6,5.5,1.7,0.1,35.9,576,5
KOOC-2815626-1,5205,152,183.0,53.7,5.0,1.9,0.1,33.8,577,6
KOOC-2815626-1,5206,183,213.0,52.7,5.4,1.8,0.2,34.3,578,7
KOOC-2815626-1,5207,213,244.0,53.5,4.8,2.1,0.2,33.1,579,8
KOOC-2815626-1,5208,244,274.0,53.5,5.3,2.6,0.3,30.6,580,9
KOOC-2815626-1,5209,274,305.0,53.9,5.5,3.0,0.5,29.1,581,10
KOOC-2815626-2,5210,0,30.0,49.0,5.2,1.7,0.2,34.5,582,1
KOOC-2815626-2,5211,30,61.0,48.7,5.5,1.5,0.1,38.4,583,2
KOOC-2815626-2,5212,61,91.0,49.6,5.6,1.4,0.2,38.5,584,3
KOOC-2815626-2,5213,91,122.0,50.4,5.6,1.3,0.1,39.8,585,4
KOOC-2815626-2,5214,122,152.0,49.8,5.5,1.3,0.1,40.8,586,5
KOOC-2815626-2,5215,152,183.0,50.1,5.8,1.4,0.2,39.3,587,6
KOOC-2815626-2,5216,183,213.0,51.3,5.5,1.7,0.2,37.9,588,7
KOOC-2815626-2,5217,213,244.0,51.0,5.4,1.8,0.2,37.7,589,8
KOOC-2815626-2,5218,244,274.0,52.5,5.5,1.5,0.2,36.3,590,9
KOOC-2815626-2,5219,274,305.0,52.8,5.6,2.1,0.2,34.4,591,10
KOOC-2815626-2,5220,305,335.0,50.7,5.5,1.5,0.2,36.2,592,11
KOOC-2815626-2,5221,335,366.0,52.6,5.3,2.3,0.2,33.6,593,12
KOOC-2815626-2,5222,366,396.0,53.8,5.2,2.9,0.8,29.6,594,13
KOOC-2815626-2,5223,396,427.0,53.6,5.3,3.2,1.1,28.2,595,14
KOOC-2815627-3,5236,0,30.0,47.9,5.4,2.0,0.3,35.9,596,1
KOOC-2815627-3,5237,30,61.0,49.9,5.4,1.8,0.2,36.2,597,2
KOOC-2815627-3,5238,61,91.0,50.8,5.6,1.5,0.2,38.0,598,3
KOOC-2815627-3,5239,91,122.0,50.3,5.7,1.7,0.2,38.3,599,4
KOOC-2815627-3,5240,122,152.0,50.0,5.6,1.4,0.2,39.6,600,5
KOOC-2815627-3,5241,152,183.0,50.9,5.6,1.5,0.2,38.6,601,6
KOOC-2815627-3,5242,183,213.0,50.7,5.6,1.7,0.2,37.1,602,7
KOOC-2815627-3,5243,213,244.0,52.0,5.5,1.8,0.2,35.5,603,8
KOOC-2815627-3,5244,244,274.0,51.8,5.3,2.0,0.2,35.9,604,9
KOOC-2815627-3,5245,274,305.0,52.9,3.3,2.2,0.3,34.8,605,10
KOOC-2815627-3,5246,305,335.0,53.0,5.2,2.2,0.2,33.3,606,11
KOOC-2815627-3,5247,335,366.0,53.6,5.1,2.8,0.8,29.4,607,12
KOOC-2815627-3,5248,366,396.0,54.0,5.1,3.0,1.1,28.3,608,13
KOOC-2815627-4,5224,0,30.0,48.1,5.3,1.1,0.2,37.1,609,1
KOOC-2815627-4,5225,30,61.0,49.8,5.6,1.3,0.2,35.0,610,2
KOOC-2815627-4,5226,61,91.0,50.2,5.5,1.1,0.2,37.2,611,3
KOOC-2815627-4,5227,91,122.0,52.1,5.5,1.1,0.2,36.3,612,4
KOOC-2815627-4,5228,122,152.0,52.9,5.8,1.1,0.2,35.4,613,5
KOOC-2815627-4,5229,152,183.0,52.9,5.7,1.1,0.2,35.9,614,6
KOOC-2815627-4,5230,183,213.0,54.1,5.6,1.8,0.2,34.0,615,7
KOOC-2815627-4,5231,213,244.0,54.1,5.1,1.8,0.2,32.5,616,8
KOOC-2815627-4,5232,244,274.0,54.0,5.4,2.2,0.3,30.8,617,9
KOOC-2815627-4,5233,274,305.0,54.7,5.4,2.5,0.5,30.3,618,10
KOOC-2815627-4,5234,305,335.0,54.2,5.4,2.5,0.6,30.7,619,11
KOOC-2815627-4,5235,335,366.0,54.1,4.4,2.6,0.9,29.3,620,12
KOOC-2815627-5,5249,0,30.0,49.0,5.2,1.5,0.2,34.5,621,1
KOOC-2815627-5,5250,30,61.0,51.6,5.4,2.0,0.2,31.6,622,2
KOOC-2815627-5,5251,61,91.0,52.2,5.2,1.8,0.2,32.4,623,3
KOOC-2815627-5,5252,91,122.0,52.9,5.4,1.6,0.2,32.7,624,4
KOOC-2815627-5,5253,122,152.0,53.2,5.3,1.6,0.2,32.4,625,5
KOOC-2815627-5,5254,152,183.0,53.1,5.3,1.7,0.2,31.8,626,6
KOOC-2815627-5,5255,183,213.0,53.5,4.9,1.6,0.1,32.2,627,7
KOOC-2815627-5,5256,213,244.0,53.3,5.3,1.9,0.2,30.5,628,8
KOOC-2815627-5,5257,244,274.0,52.7,5.3,2.0,0.2,30.0,629,9
KOOC-2815627-5,5258,274,305.0,52.8,5.3,2.3,0.4,29.4,630,10
KOOC-2815628-3,2874,35,200.0,52.8,5.4,1.9,0.6,30.0,631,1
KOOC-2815634-41,2878,35,150.0,53.2,6.2,2.2,0.2,27.7,632,1
KOOC-2915516-2,5259,0,30.0,51.9,5.1,2.4,0.3,29.5,633,1
KOOC-2915516-2,5260,30,61.0,52.9,5.2,2.4,0.3,30.5,634,2
KOOC-2915516-2,5261,61,91.0,52.3,5.2,2.5,0.2,31.5,635,3
KOOC-2915516-2,5262,91,122.0,52.7,5.2,2.2,0.2,31.7,636,4
KOOC-2915516-2,5263,122,152.0,53.8,5.2,2.0,0.2,31.9,637,5
KOOC-2915516-2,5264,152,183.0,52.7,5.0,2.0,0.3,31.6,638,6
KOOC-2915516-2,5265,183,213.0,53.8,5.2,2.3,0.5,31.1,639,7
KOOC-2915516-2,5266,213,244.0,53.4,5.2,2.9,1.3,27.8,640,8
KOOC-2915516-2,5267,244,274.0,52.4,5.0,3.0,1.7,26.3,641,9
KOOC-2915517-1,5268,30,61.0,48.9,4.7,2.6,0.3,30.2,642,1
KOOC-2915517-1,5269,61,91.0,50.0,4.9,2.6,0.3,30.3,643,2
KOOC-2915517-1,5270,91,122.0,51.7,4.9,2.3,0.3,31.4,644,3
KOOC-2915517-1,5271,122,152.0,51.3,4.7,2.0,0.3,31.5,645,4
KOOC-2915517-1,5272,152,183.0,51.3,4.6,1.8,0.3,31.9,646,5
KOOC-2915520-4,5273,0,30.0,49.8,5.0,2.8,0.3,30.2,647,1
KOOC-2915520-4,5274,30,61.0,51.8,5.2,2.7,0.3,30.5,648,2
KOOC-2915520-4,5275,61,91.0,54.4,5.2,2.3,0.3,30.1,649,3
KOOC-2915520-4,5276,91,122.0,54.1,5.1,2.3,0.3,30.7,650,4
KOOC-2915520-4,5277,122,152.0,54.3,5.4,2.4,0.4,30.6,651,5
KOOC-2915521-148,238,15,30.0,,,,0.12,,652,1
KOOC-2915521-148,239,70,85.0,,,,0.08,,653,2
KOOC-2915521-148,240,110,125.0,,,,0.26,,654,3
KOOC-2915521-148,241,143,158.0,,,,0.04,,655,4
KOOC-2915521-31,5284,30,61.0,52.2,5.1,2.6,0.3,31.7,656,1
KOOC-2915521-31,5285,61,91.0,52.8,5.2,2.6,0.3,31.4,657,2
KOOC-2915521-31,5286,91,122.0,54.2,5.3,2.7,0.3,31.7,658,3
KOOC-2915521-31,5287,122,152.0,53.6,5.2,2.6,0.3,31.4,659,4
KOOC-2915521-31,5288,152,183.0,53.1,5.3,2.6,0.3,31.3,660,5
KOOC-2915521-31,5289,183,213.0,54.2,5.4,2.7,0.4,30.4,661,6
KOOC-2915521-31,5290,213,244.0,53.9,5.5,2.7,0.8,28.9,662,7
KOOC-2915521-31,5291,244,274.0,53.3,5.2,2.8,1.1,27.9,663,8
KOOC-2915521-5,5278,0,30.0,49.8,5.1,2.4,0.2,30.0,664,1
KOOC-2915521-5,5279,30,61.0,52.4,5.2,2.5,0.3,30.1,665,2
KOOC-2915521-5,5280,61,91.0,53.6,5.4,2.6,0.3,30.9,666,3
KOOC-2915521-5,5281,91,122.0,53.3,5.0,2.3,0.3,30.4,667,4
KOOC-2915521-5,5282,122,152.0,53.8,5.2,2.3,0.3,30.7,668,5
KOOC-2915521-5,5283,152,183.0,53.7,5.0,2.4,0.4,30.0,669,6
KOOC-2915521-51,213,0,15.0,,,,0.38,,670,1
KOOC-2915521-51,214,35,50.0,,,,0.04,,671,2
KOOC-2915521-51,215,85,100.0,,,,0.11,,672,3
KOOC-2915521-51,216,107,122.0,,,,0.34,,673,4
KOOC-2915521-53,223,0,25.0,,,,0.19,,674,1
KOOC-2915521-53,224,25,50.0,,,,0.15,,675,2
KOOC-2915521-53,225,67,82.0,,,,0.15,,676,3
KOOC-2915521-53,226,95,110.0,,,,0.38,,677,4
LOTW-3315904-462,3448,75,125.0,49.9,4.1,2.7,0.2,30.9,678,1
LOTW-3416203-465,3439,60,90.0,48.1,3.6,1.9,0.2,32.2,679,1
PINE-1704530-A+2100+300,4953,10,40.0,,,,0.25,,680,1
PINE-1704530-A+2100+300,4954,55,85.0,,,,0.15,,681,2
PINE-1704530-A+2100+300,4955,103,148.0,,,,0.15,,682,3
PINE-1804536-13,4840,20,35.0,,,,0.36,,683,1
PINE-1804536-13,4841,55,70.0,,,,0.14,,684,2
PINE-1804536-13,4842,80,95.0,,,,0.19,,685,3
PINE-1804536-13,4844,130,145.0,,,,0.28,,686,4
PINE-1804536-19,4899,25,40.0,,,,0.45,,687,1
PINE-1804536-19,4900,60,75.0,,,,0.35,,688,2
PINE-1804536-19,4901,80,95.0,,,,0.29,,689,3
PINE-1804536-19,4903,130,145.0,,,,0.32,,690,4
PINE-1804536-A+1500+-0,4959,10,45.0,,,,0.25,,691,1
PINE-1804536-A+1500+-0,4960,53,98.0,,,,0.28,,692,2
PINE-1804536-A+1500+-0,4961,105,145.0,,,,0.23,,693,3
PINE-1804536-A+300+100,4956,12,42.0,,,,0.13,,694,1
PINE-1804536-A+300+100,4957,53,90.0,,,,0.2,,695,2
PINE-1804536-A+300+100,4958,103,148.0,,,,0.18,,696,3
PINE-1804536-A+900+-0,4962,10,40.0,,,,0.15,,697,1
PINE-1804536-A+900+-0,4963,53,98.0,,,,0.13,,698,2
PINE-1804536-A+900+-0,4964,105,140.0,,,,0.13,,699,3
STLO-1805218-88,662,35,50.0,,,,0.15,,700,1
STLO-1805218-88,663,84,99.0,,,,0.23,,701,2
STLO-1805218-88,664,135,150.0,,,,0.04,,702,3
STLO-1805218-88,665,184,199.0,,,,0.15,,703,4
STLO-1805218-88,666,235,250.0,,,,0.08,,704,5
STLO-1805218-88,667,284,299.0,,,,0.23,,705,6
STLO-1805218-88,668,315,330.0,,,,0.34,,706,7
STLO-1805320-163,1239,35,50.0,,,,0.19,,707,1
STLO-1805320-163,1240,85,100.0,,,,0.11,,708,2
STLO-1805320-163,1242,185,200.0,,,,0.19,,709,3
STLO-1805320-163,1243,235,250.0,,,,0.16,,710,4
STLO-1805331-617,3953,0,50.0,51.6,5.0,2.4,0.4,31.1,711,1
STLO-1805331-617,3954,85,135.0,52.3,4.8,2.2,0.3,31.0,712,2
STLO-1805516-523,3913,30,47.0,52.8,5.7,3.0,0.2,32.0,713,1
STLO-1805516-523,3914,64,87.0,52.1,5.4,3.6,0.2,27.9,714,2
STLO-1805516-523,3915,127,150.0,53.6,5.5,3.0,0.3,29.2,715,3
STLO-1805536-A800+-0,3924,80,150.0,54.0,5.8,2.7,0.2,30.0,716,1
STLO-1805536-A800+-0,3926,200,230.0,52.0,4.7,2.2,0.3,9.5,717,2
STLO-1805536-A800+-0,3927,0,40.0,50.7,5.4,2.3,0.3,32.0,718,3
STLO-1806226-94,3583,30,60.0,51.8,5.1,1.9,0.2,33.1,719,1
STLO-1806226-94,3584,60,120.0,52.1,4.3,1.5,0.3,32.1,720,2
STLO-1806226-94,3585,120,180.0,54.4,4.4,1.2,0.3,31.5,721,3
STLO-1806229-97,3559,60,75.0,50.8,4.5,1.8,0.2,24.8,722,1
STLO-1806229-97,3560,170,185.0,54.5,4.5,1.6,0.5,30.7,723,2
STLO-1806229-97,3561,250,265.0,49.1,4.2,2.7,0.6,36.1,724,3
STLO-1905102-31,496,35,50.0,,,,0.04,,725,1
STLO-1905102-31,498,135,150.0,,,,0.07,,726,2
STLO-1905102-31,500,235,250.0,,,,0.14,,727,3
STLO-1905102-31,502,335,350.0,,,,0.08,,728,4
STLO-1905102-31,844,435,450.0,,,,0.41,,729,5
STLO-1905102-31,846,510,525.0,,,,0.16,,730,6
STLO-1905110-32,5141,61,91.0,49.9,5.3,0.6,0.1,42.1,731,1
STLO-1905110-32,5142,91,122.0,51.1,5.4,1.0,0.2,38.5,732,2
STLO-1905110-32,5143,122,152.0,51.6,5.4,0.9,0.1,39.4,733,3
STLO-1905110-32,5144,152,183.0,51.8,5.5,0.9,0.1,38.7,734,4
STLO-1905110-32,5145,183,213.0,53.6,5.7,1.4,0.2,34.0,735,5
STLO-1905110-32,5146,213,244.0,54.0,5.7,1.4,0.2,34.9,736,6
STLO-1905110-32,5147,244,274.0,55.0,5.8,1.5,0.2,32.9,737,7
STLO-1905110-32,5148,274,305.0,54.5,5.3,1.8,0.2,30.5,738,8
STLO-1905110-32,5149,305,335.0,55.1,5.3,2.1,0.2,30.9,739,9
STLO-1905110-32,5150,335,366.0,54.3,5.2,2.2,0.3,30.7,740,10
STLO-1905110-32,5151,366,396.0,53.9,3.4,2.2,0.2,30.5,741,11
STLO-1905110-38,5130,61,91.0,48.9,5.4,1.3,0.2,36.2,742,1
STLO-1905110-38,5131,91,122.0,49.4,5.4,0.5,0.1,42.5,743,2
STLO-1905110-38,5132,122,152.0,50.5,5.4,0.5,0.2,41.5,744,3
STLO-1905110-38,5133,152,183.0,51.2,5.7,0.8,0.1,39.8,745,4
STLO-1905110-38,5134,183,213.0,52.1,5.6,0.9,0.1,37.3,746,5
STLO-1905110-38,5135,213,244.0,53.6,5.8,1.0,0.1,35.9,747,6
STLO-1905110-38,5136,244,274.0,51.2,5.7,0.8,0.1,39.5,748,7
STLO-1905110-38,5137,274,305.0,54.6,5.8,1.5,0.2,33.3,749,8
STLO-1905110-38,5138,305,335.0,54.6,5.7,1.6,0.2,32.9,750,9
STLO-1905110-38,5139,335,366.0,53.6,5.4,1.8,0.2,29.9,751,10
STLO-1905110-38,5140,366,396.0,54.9,5.4,2.1,0.2,30.2,752,11
STLO-1905111-37,5152,61,91.0,51.9,5.4,1.2,0.1,36.2,753,1
STLO-1905111-37,5153,91,122.0,51.4,5.6,1.0,0.1,39.1,754,2
STLO-1905111-37,5154,122,152.0,51.2,5.7,0.8,0.2,40.2,755,3
STLO-1905111-37,5155,152,183.0,52.1,5.4,0.8,0.1,39.5,756,4
STLO-1905111-37,5156,183,213.0,51.8,5.8,0.9,0.2,39.2,757,5
STLO-1905111-37,5157,213,244.0,51.7,5.9,0.9,0.2,39.1,758,6
STLO-1905111-37,5158,244,274.0,52.7,5.8,1.2,0.1,36.8,759,7
STLO-1905111-37,5159,274,305.0,54.4,5.8,1.6,0.2,34.3,760,8
STLO-1905111-37,5160,305,335.0,55.4,5.6,2.1,0.2,31.5,761,9
STLO-1905111-37,5161,335,366.0,54.6,5.6,2.1,0.2,31.6,762,10
STLO-1905415-221,888,35,50.0,,,,0.04,,763,1
STLO-1905415-221,889,84,99.0,,,,0.2,,764,2
STLO-1905415-221,890,135,150.0,,,,0.16,,765,3
STLO-1905415-221,891,167,182.0,,,,0.45,,766,4
STLO-1905424-474,3920,50,80.0,54.6,5.4,2.5,0.2,30.8,767,1
STLO-1905424-474,3921,175,210.0,49.9,4.6,2.1,0.3,29.0,768,2
STLO-1905424-474,3922,250,285.0,48.6,4.8,2.7,0.6,26.5,769,3
STLO-1905425-473,3916,20,50.0,54.3,5.5,3.3,0.2,27.8,770,1
STLO-1905425-473,3917,80,107.0,52.2,5.2,2.5,0.3,27.6,771,2
STLO-1905425-473,3918,107,125.0,51.1,4.8,2.2,0.3,29.5,772,3
STLO-2005212-616,3951,13,50.0,52.7,5.1,1.4,0.2,31.9,773,1
STLO-2005212-616,3952,75,125.0,51.7,4.7,2.3,0.3,28.8,774,2
STLO-2005303-524,3907,38,73.0,54.3,5.5,2.5,0.2,29.4,775,1
STLO-2005303-524,3908,143,172.0,51.0,5.0,2.2,0.2,27.7,776,2
STLO-2005303-524,3909,235,280.0,51.5,5.2,2.5,0.2,27.9,777,3
STLO-2005308-613,3944,10,60.0,51.5,4.8,2.2,0.3,30.0,778,1
STLO-2005308-613,3945,75,125.0,51.2,4.3,2.7,0.5,29.0,779,2
STLO-2005315-525,3910,15,65.0,51.5,5.5,2.0,0.2,34.4,780,1
STLO-2005315-525,3911,110,159.0,54.1,5.5,1.9,0.2,30.0,781,2
STLO-2005315-525,3912,175,225.0,52.5,5.0,2.2,0.3,29.9,782,3
STLO-2005316-614,3946,0,50.0,52.0,5.4,2.1,0.3,30.1,783,1
STLO-2005316-614,3947,75,125.0,53.0,5.0,2.6,1.1,27.3,784,2
STLO-2005336-618,3955,0,50.0,53.3,5.6,1.9,0.2,31.7,785,1
STLO-2005336-618,3956,60,110.0,54.6,5.4,1.5,0.2,31.5,786,2
STLO-2005423-235,435,35,50.0,,,,0.04,,787,1
STLO-2005423-235,436,84,99.0,,,,0.04,,788,2
STLO-2005423-235,437,135,150.0,,,,0.04,,789,3
STLO-2005423-235,438,184,199.0,,,,0.07,,790,4
STLO-2005423-235,439,235,250.0,,,,0.22,,791,5
STLO-2005423-235,440,284,299.0,,,,0.04,,792,6
STLO-2005423-235,441,335,350.0,,,,0.22,,793,7
STLO-2005423-235,442,355,365.0,,,,0.43,,794,8
STLO-2005435-249,371,84,99.0,,,,0.12,,795,1
STLO-2005435-249,372,135,150.0,,,,0.31,,796,2
STLO-2005435-249,373,184,199.0,,,,0.12,,797,3
STLO-2005435-249,374,235,250.0,,,,0.16,,798,4
STLO-2005435-249,375,284,299.0,,,,0.12,,799,5
STLO-2005435-249,376,335,350.0,,,,0.31,,800,6
STLO-2005435-249,377,384,399.0,,,,0.27,,801,7
STLO-2005435-249,378,415,430.0,,,,0.55,,802,8
STLO-2005517-T23,4440,60,75.0,,,,0.18,,803,1
STLO-2005517-T23,4442,130,145.0,,,,0.1,,804,2
STLO-2005517-T23,4444,180,195.0,,,,0.15,,805,3
STLO-2005519-T27,4423,32,47.0,,,,0.1,,806,1
STLO-2005519-T27,4425,80,95.0,,,,0.15,,807,2
STLO-2005519-T27,4426,125,140.0,,,,0.18,,808,3
STLO-2005529-T38,4660,32,47.0,,,,0.15,,809,1
STLO-2005529-T38,4663,175,190.0,,,,0.08,,810,2
STLO-2005616-A+800-1600,4685,15,30.0,,,,0.15,,811,1
STLO-2005616-A+800-1600,4687,135,150.0,,,,0.23,,812,2
STLO-2005616-A+800-1600,4689,150,165.0,,,,0.25,,813,3
STLO-2005616-A+800-1600,4690,165,180.0,,,,0.28,,814,4
STLO-2005616-A+800-1600,4693,30,45.0,,,,0.2,,815,5
STLO-2005616-A+800-1600,4694,45,60.0,,,,0.18,,816,6
STLO-2005616-A+800-1600,4695,60,75.0,,,,0.15,,817,7
STLO-2005616-A+800-1600,4696,75,90.0,,,,0.15,,818,8
STLO-2005616-A+800-1600,4697,90,105.0,,,,0.1,,819,9
STLO-2005616-A+800-1600,4698,105,120.0,,,,0.15,,820,10
STLO-2005616-A+800-1600,4699,120,135.0,,,,0.18,,821,11
STLO-2005616-A+800-1600,4700,180,195.0,,,,0.3,,822,12
STLO-2005617-A-700-800,4677,45,60.0,,,,0.13,,823,1
STLO-2005617-A-700-800,4678,60,75.0,,,,0.18,,824,2
STLO-2005617-A-700-800,4679,75,90.0,,,,0.18,,825,3
STLO-2005617-A-700-800,4680,120,135.0,,,,0.35,,826,4
STLO-2005617-A-700-800,4681,135,150.0,,,,0.4,,827,5
STLO-2005617-A-700-800,4682,150,165.0,,,,0.25,,828,6
STLO-2005617-A-700-800,4683,165,180.0,,,,0.45,,829,7
STLO-2005617-A-700-800,4684,180,195.0,,,,0.18,,830,8
STLO-2005617-A-700-800,4701,90,105.0,,,,0.28,,831,9
STLO-2005617-A-700-800,4704,105,120.0,,,,0.28,,832,10
STLO-2005617-A-700-800,4706,15,30.0,,,,0.18,,833,11
STLO-2005617-A-700-800,4707,30,45.0,,,,0.23,,834,12
STLO-2005617-R21,4311,30,45.0,,,,0.25,,835,1
STLO-2005617-R21,4313,70,85.0,,,,0.18,,836,2
STLO-2005617-R21,4314,125,140.0,,,,0.18,,837,3
STLO-2005617-R9,4363,75,90.0,,,,0.15,,838,1
STLO-2005617-R9,4365,125,140.0,,,,0.15,,839,2
STLO-2005617-R9,4367,175,190.0,,,,0.15,,840,3
STLO-2006235-198,3005,85,100.0,52.4,4.4,1.4,0.2,33.4,841,1
STLO-2006235-198,3007,185,200.0,53.1,4.9,1.7,0.2,33.6,842,2
STLO-2006235-198,3010,335,350.0,47.0,3.7,2.1,0.3,26.3,843,3
STLO-2105209-615,3948,15,60.0,52.6,5.6,3.3,0.2,31.5,844,1
STLO-2105209-615,3949,90,140.0,53.4,5.2,2.6,0.2,31.6,845,2
STLO-2105227-133,1099,50,65.0,,,,0.2,,846,1
STLO-2105227-133,1100,84,99.0,,,,0.12,,847,2
STLO-2105227-133,1101,135,150.0,,,,0.12,,848,3
STLO-2105227-133,1102,184,199.0,,,,0.12,,849,4
STLO-2105227-133,1103,235,250.0,,,,0.25,,850,5
STLO-2105227-133,1104,284,299.0,,,,0.04,,851,6
STLO-2105227-133,1105,335,350.0,,,,0.12,,852,7
STLO-2105227-133,1106,384,399.0,,,,0.16,,853,8
STLO-2105227-133,1107,435,450.0,,,,0.61,,854,9
STLO-2105227-133,1108,484,499.0,,,,2.33,,855,10
STLO-2106226-126,3569,125,,54.1,4.7,1.3,0.2,32.4,856,1
STLO-2106226-126,3570,150,,53.5,4.7,1.3,0.2,33.0,857,2
