DNR Peat Inventory ID #,D_Sample #,D_Sampnum,D_Sampnsub,D_Top Depth (cm),D_Bottom Depth (cm),D_Bulk Density (g/cc),D_Moisture Content (%),D_PH H2O,D_PH CaCl2,D_Ash Content (%),D_Uniq_id,D_Depthnum
BELT-3215625-346,3503,3503,,100.0,270.0,0.06,93.4,5.5,4.5,5.3,921,2
BELT-3215625-346,3504,3504,,360.0,390.0,0.16,86.0,4.5,4.4,14.2,922,3
BELT-3215626-339,3470,3470,,45.0,60.0,,,5.5,4.5,,923,1
BELT-3215626-339,3471,3471,,100.0,180.0,0.07,92.8,5.6,4.7,5.9,924,2
BELT-3215626-339,3472,3472,,210.0,270.0,0.1,89.8,5.2,4.9,11.0,925,3
BELT-3215633-380,3466,3466,,0.0,60.0,,,4.1,3.0,,926,1
BELT-3215633-380,3467,3467,,100.0,200.0,0.07,92.0,5.0,3.7,4.9,927,2
BELT-3215633-380,3468,3468,,210.0,300.0,0.07,92.1,5.9,5.1,6.1,928,3
BELT-3215633-380,3469,3469,,300.0,345.0,0.11,89.8,5.4,5.1,9.0,929,4
BELT-3315504-525,3463,3463,,0.0,140.0,0.06,93.9,5.9,5.2,4.9,930,1
BELT-3315504-525,3464,3464,,140.0,230.0,0.09,90.4,4.8,4.6,7.1,931,2
BELT-3315524-376,3478,3478,,50.0,90.0,0.16,84.2,4.9,4.6,10.5,932,1
BELT-3315624-529,3490,3490,,70.0,120.0,0.09,90.8,5.1,4.7,6.6,933,1
BELT-3315624-529,3491,3491,,125.0,175.0,0.08,91.6,5.3,5.0,5.8,934,2
BELT-3315624-529,3492,3492,,210.0,225.0,0.11,89.6,4.7,4.5,11.7,935,3
BELT-3415502-524,3460,3460,,0.0,110.0,,,6.0,5.1,,936,1
BELT-3415502-524,3461,3461,,110.0,175.0,0.09,90.7,6.0,5.2,6.1,937,2
BELT-3415502-524,3462,3462,,175.0,190.0,0.13,87.5,6.0,5.5,9.7,938,3
BELT-3415611-402,3459,3459,,40.0,90.0,0.16,83.7,5.0,4.5,9.9,939,1
BELT-3515501-526,3465,3465,,90.0,140.0,0.11,90.0,5.6,4.7,5.7,940,1
BELT-3515525-396,3477,3477,,60.0,130.0,0.13,88.2,5.7,5.2,8.3,941,1
BELT-3515618-429,3458,3458,,0.0,100.0,0.17,81.5,5.9,5.5,10.1,942,1
BELT-3615725-444,3451,3451,,75.0,125.0,0.1,90.5,5.6,5.0,6.2,943,1
BELT-3615725-444,3452,3452,,175.0,225.0,0.14,87.5,5.5,5.0,9.5,944,2
BELT-3615729-436,3449,3449,,0.0,90.0,0.1,89.9,5.6,5.0,6.0,945,1
BELT-3615729-436,3450,3450,,90.0,120.0,0.14,86.0,5.7,5.2,8.3,946,2
BENT-3003631-1,5057,5057,,0.0,29.0,,,,,21.9,947,1
BENT-3003631-1,5058,5058,,29.0,56.0,,,,,18.6,948,2
BENT-3003631-2,5059,5059,,0.0,25.0,,,,,22.4,949,1
BENT-3003631-2,5060,5060,,25.0,45.0,,,,,14.4,950,2
BENT-3003631-2,5061,5061,,45.0,80.0,,,,,18.5,951,3
BENT-3003631-2,5062,5062,,80.0,127.0,,,,,45.6,952,4
BENT-3003631-3,5063,5063,,0.0,27.0,,,,,23.6,953,1
BENT-3003631-3,5064,5064,,27.0,73.0,,,,,16.4,954,2
BENT-3003631-3,5065,5065,,73.0,95.0,,,,,41.0,955,3
CARL-1704805-102,3596,3596,,135.0,150.0,0.16,84.4,4.4,4.1,8.5,956,1
CARL-1704805-102,3597,3597,,185.0,200.0,0.11,91.1,4.6,4.5,35.1,957,2
CARL-1804802-104,3598,3598,,30.0,45.0,0.09,92.4,4.0,3.3,7.0,958,1
CARL-1804802-104,3599,3599,,120.0,135.0,0.11,89.6,4.3,3.4,6.6,959,2
CARL-1804915-105,3600,3600,,35.0,50.0,0.18,84.3,4.3,3.7,11.0,960,1
CARL-1904801-244,3529,3529,,40.0,90.0,0.12,87.6,4.1,3.2,5.8,961,1
CARL-1904801-244,3530,3530,,230.0,245.0,0.19,81.8,4.7,4.1,13.7,962,2
CARL-1904803-242,3526,3526,,15.0,30.0,0.1,89.4,3.9,3.2,7.1,963,1
CARL-1904803-242,3527,3527,,60.0,80.0,0.07,92.9,3.8,3.0,2.9,964,2
CARL-1904803-242,3528,3528,,100.0,150.0,0.06,92.9,4.0,3.2,6.1,965,3
CARL-1904804-381,3878,3878,,20.0,40.0,0.15,84.0,,,,966,1
CARL-1904804-381,3879,3879,,65.0,80.0,0.12,88.4,,,,967,2
CARL-1904804-381,3880,3880,,80.0,95.0,0.12,88.3,,,,968,3
CARL-1904804-382,3881,3881,,15.0,30.0,0.16,81.3,,,,969,1
CARL-1904804-382,3882,3882,,32.0,48.0,0.12,85.7,,,,970,2
CARL-1904827-A0+-0,4105,4105,,20.0,45.0,0.04,93.8,3.8,3.0,4.4,971,1
CARL-1904827-A0+-0,4106,4106,,70.0,85.0,0.1,88.5,,,8.0,972,2
CARL-1904827-A0+-0,4107,4107,,72.0,82.0,,,3.9,3.0,,973,3
CARL-1904827-A0+-0,4108,4108,,90.0,100.0,,,3.8,3.0,,974,4
CARL-1904827-A0+-0,4109,4109,,85.0,100.0,0.09,91.2,,,4.0,975,5
CARL-1904827-A0+-0,4110,4110,,125.0,145.0,,,4.1,3.2,,976,6
CARL-1904827-A0+-0,4111,4111,,130.0,145.0,0.06,93.2,,,3.5,977,7
CARL-1904827-A0+-0,4112,4112,,150.0,165.0,0.08,91.1,,,5.8,978,8
CARL-1904827-A0-400,4113,4113,,18.0,33.0,0.07,92.0,,,4.4,979,1
CARL-1904827-A0-400,4114,4114,,33.0,48.0,0.07,92.3,,,4.0,980,2
CARL-1904827-A0-400,4115,4115,,50.0,75.0,0.08,91.4,3.6,3.1,5.3,981,3
CARL-1904827-A0-400,4116,4116,,75.0,90.0,0.09,90.7,,,4.5,982,4
CARL-1904827-A0-400,4117,4117,,105.0,120.0,0.06,93.3,,,6.6,983,5
CARL-1904827-A0-400,4118,4118,,120.0,145.0,0.09,90.6,3.8,3.1,5.9,984,6
CARL-1904827-A0-400,4119,4119,,150.0,170.0,0.06,92.8,4.2,3.5,2.7,985,7
CARL-1904827-A0-800,4120,4120,,35.0,50.0,0.08,91.6,,,7.7,986,1
CARL-1904827-A0-800,4121,4121,,62.0,83.0,0.05,94.7,4.0,3.1,3.8,987,2
CARL-1904827-A0-800,4122,4122,,85.0,100.0,0.07,93.2,,,4.8,988,3
CARL-1904827-A0-800,4123,4123,,110.0,135.0,0.06,93.3,4.2,3.2,2.3,989,4
CARL-1904827-A0-800,4124,4124,,140.0,155.0,0.06,94.2,,,2.7,990,5
CARL-1904827-A1200-155,4145,4145,,30.0,50.0,0.07,92.6,3.7,3.0,5.6,991,1
CARL-1904827-A1200-155,4146,4146,,55.0,70.0,0.06,93.0,,,4.8,992,2
CARL-1904827-A1200-155,4147,4147,,85.0,100.0,0.05,94.0,,,3.1,993,3
CARL-1904827-A1200-155,4148,4148,,100.0,115.0,0.05,92.7,,,4.4,994,4
CARL-1904827-A1200-455,4149,4149,,15.0,30.0,0.06,92.8,,,7.1,995,1
CARL-1904827-A1200-455,4150,4150,,30.0,45.0,0.07,91.6,,,8.3,996,2
CARL-1904827-A1200-455,4151,4151,,65.0,80.0,0.07,90.8,,,6.1,997,3
CARL-1904827-A1200-455,4152,4152,,80.0,90.0,,,4.2,3.5,,998,4
CARL-1904827-A1200-455,4153,4153,,90.0,105.0,0.09,91.1,,,5.3,999,5
CARL-1904827-A465-200,4082,4082,,0.0,25.0,,,4.1,3.1,,1000,1
CARL-1904827-A465-200,4083,4083,,25.0,40.0,0.06,92.6,,,6.1,1001,2
CARL-1904827-A465-200,4084,4084,,60.0,85.0,0.06,92.8,4.1,3.1,4.3,1002,3
CARL-1904827-A465-200,4085,4085,,93.0,108.0,0.06,93.7,,,2.5,1003,4
CARL-1904827-A465-200,4086,4086,,130.0,145.0,0.04,95.0,,,2.4,1004,5
CARL-1904827-A465-200,4087,4087,,155.0,175.0,0.06,93.9,4.5,3.3,2.9,1005,6
CARL-1904827-A465-200,4088,4088,,202.0,217.0,0.06,92.9,,,6.2,1006,7
CARL-1904827-A465-500,4089,4089,,33.0,48.0,0.05,92.8,,,5.5,1007,1
CARL-1904827-A465-500,4090,4090,,48.0,63.0,0.08,91.1,,,6.7,1008,2
CARL-1904827-A465-500,4091,4091,,80.0,105.0,0.05,93.7,3.6,3.0,1.8,1009,3
CARL-1904827-A465-500,4092,4092,,105.0,120.0,0.05,94.6,,,1.6,1010,4
CARL-1904827-A465-500,4093,4093,,125.0,140.0,0.04,95.7,,,2.2,1011,5
CARL-1904827-A465-500,4094,4094,,140.0,153.0,,,3.9,3.1,,1012,6
CARL-1904827-A465-500,4095,4095,,153.0,168.0,0.04,95.2,,,2.3,1013,7
CARL-1904827-A465-500,4096,4096,,185.0,200.0,0.06,92.5,,,3.9,1014,8
CARL-1904827-A465-500,4097,4097,,200.0,215.0,0.07,92.1,,,5.6,1015,9
CARL-1904827-A465-800,4098,4098,,33.0,48.0,0.04,92.7,,,5.4,1016,1
CARL-1904827-A465-800,4099,4099,,60.0,72.0,,,3.8,3.0,,1017,2
CARL-1904827-A465-800,4100,4100,,72.0,87.0,0.07,91.7,,,6.6,1018,3
CARL-1904827-A465-800,4101,4101,,92.0,107.0,0.05,92.9,,,4.6,1019,4
CARL-1904827-A465-800,4102,4102,,115.0,130.0,0.07,91.8,,,5.2,1020,5
CARL-1904827-A465-800,4103,4103,,130.0,137.0,,,4.2,3.2,,1021,6
CARL-1904827-A465-800,4104,4104,,137.0,152.0,0.06,93.3,,,3.0,1022,7
CARL-1904827-A890+-0,4125,4125,,35.0,50.0,0.04,92.5,,,7.6,1023,1
CARL-1904827-A890+-0,4126,4126,,50.0,65.0,0.05,93.1,,,5.2,1024,2
CARL-1904827-A890+-0,4127,4127,,85.0,100.0,0.06,92.8,,,3.4,1025,3
CARL-1904827-A890+-0,4128,4128,,110.0,127.0,0.09,91.0,3.8,3.1,3.9,1026,4
CARL-1904827-A890+-0,4129,4129,,132.0,147.0,0.06,92.5,,,3.2,1027,5
CARL-1904827-A890+-0,4130,4130,,147.0,162.0,0.06,92.2,,,3.8,1028,6
CARL-1904827-A890+-0,4131,4131,,162.0,177.0,0.09,90.7,,,5.3,1029,7
CARL-1904827-A890-300,4132,4132,,25.0,40.0,0.08,92.2,3.7,3.0,6.3,1030,1
CARL-1904827-A890-300,4133,4133,,45.0,60.0,0.06,92.5,,,6.6,1031,2
CARL-1904827-A890-300,4134,4134,,60.0,75.0,0.08,91.4,,,6.3,1032,3
CARL-1904827-A890-300,4135,4135,,95.0,110.0,0.06,93.5,,,2.6,1033,4
CARL-1904827-A890-300,4136,4136,,115.0,130.0,0.06,93.3,,,2.7,1034,5
CARL-1904827-A890-300,4137,4137,,142.0,157.0,0.05,93.9,,,4.3,1035,6
CARL-1904827-A890-300,4138,4138,,157.0,172.0,0.07,91.7,,,4.8,1036,7
CARL-1904827-A890-700,4139,4139,,20.0,47.0,0.05,92.0,3.8,3.1,4.2,1037,1
CARL-1904827-A890-700,4140,4140,,47.0,62.0,0.06,93.6,,,5.2,1038,2
CARL-1904827-A890-700,4141,4141,,80.0,95.0,0.05,93.9,,,2.3,1039,3
CARL-1904827-A890-700,4142,4142,,95.0,117.0,0.04,94.8,4.0,3.2,2.8,1040,4
CARL-1904827-A890-700,4143,4143,,123.0,138.0,0.05,94.3,,,5.3,1041,5
CARL-1904827-A890-700,4144,4144,,138.0,153.0,0.08,92.0,,,5.3,1042,6
CARL-1904831-220,3524,3524,,40.0,55.0,0.09,90.0,3.7,3.1,4.1,1043,1
CARL-1904831-220,3525,3525,,135.0,150.0,0.08,91.2,4.4,3.5,3.1,1044,2
CARL-1904918-150,3594,3594,,0.0,30.0,0.21,81.3,3.9,3.7,11.3,1045,1
CARL-1904918-150,3595,3595,,30.0,60.0,0.2,83.9,4.7,4.5,12.4,1046,2
CARL-1904921-146,3593,3593,,0.0,90.0,0.15,85.0,5.6,5.2,13.1,1047,1
CARL-1904928-585,3930,3930,,60.0,75.0,0.15,84.0,5.7,5.2,14.0,1048,1
CARL-1904929-193,3516,3516,,20.0,70.0,0.18,81.9,3.8,3.2,13.3,1049,1
CARL-1904929-193,3517,3517,,190.0,205.0,0.13,84.9,4.1,3.2,8.6,1050,2
CARL-2004723-120,3592,3592,,0.0,90.0,0.24,75.8,4.5,4.3,24.0,1051,1
CARL-2004807-278,3511,3511,,35.0,50.0,0.1,89.0,3.8,3.1,4.8,1052,1
CARL-2004807-278,3512,3512,,75.0,100.0,0.1,90.5,4.1,3.2,4.0,1053,2
CARL-2004807-278,3513,3513,,90.0,105.0,0.15,86.1,4.3,3.4,10.7,1054,3
CARL-2004811-189,3514,3514,,35.0,50.0,0.13,86.8,4.2,3.3,4.7,1055,1
CARL-2004811-189,3515,3515,,125.0,140.0,0.2,81.8,4.4,3.5,10.0,1056,2
CARL-2004907-125,3609,3609,,20.0,35.0,0.04,94.9,3.8,3.2,3.2,1057,1
CARL-2004907-125,3610,3610,,40.0,55.0,0.1,88.8,4.0,3.1,7.9,1058,2
CARL-2004907-125,3611,3611,,130.0,145.0,0.12,88.0,4.1,3.2,3.4,1059,3
CARL-2004907-258,3604,3604,,35.0,50.0,0.09,90.0,3.8,3.1,7.0,1060,1
CARL-2004907-258,3605,3605,,170.0,185.0,0.14,87.2,4.2,3.4,7.2,1061,2
CARL-2004918-A900-80,3905,3905,,50.0,70.0,0.12,88.3,3.6,3.0,7.9,1062,1
CARL-2004918-A900-80,3906,3906,,103.0,123.0,0.08,91.8,3.7,3.0,,1063,2
CARL-2004918-D+150+200,5006,5006,,0.0,20.0,,,3.7,2.9,,1064,1
CARL-2004918-D+150+200,5007,5007,,20.0,50.0,,,3.8,2.9,,1065,2
CARL-2004918-D+150+200,5008,5008,,70.0,100.0,,,3.9,3.0,,1066,3
CARL-2004918-D+150+200,5009,5009,,140.0,170.0,,,4.4,3.2,,1067,4
CARL-2004919-301,3617,3617,,75.0,90.0,0.05,92.9,4.0,2.8,2.4,1068,1
CARL-2004919-301,3618,3618,,90.0,120.0,0.06,92.0,4.0,2.8,1.9,1069,2
CARL-2004919-301,3619,3619,,135.0,150.0,0.05,94.5,4.0,2.9,2.5,1070,3
CARL-2004919-301,3620,3620,,165.0,180.0,0.06,93.6,4.1,2.9,3.6,1071,4
CARL-2004919-301,3621,3621,,200.0,215.0,0.07,93.4,4.1,3.0,3.3,1072,5
CARL-2004919-301,3622,3622,,225.0,240.0,0.06,93.9,4.2,3.1,2.9,1073,6
CARL-2004919-301,3623,3623,,300.0,315.0,0.09,90.5,4.7,3.5,5.5,1074,7
CARL-2004919-A500-40,3937,3937,,185.0,200.0,0.08,92.2,4.5,3.4,4.2,1075,1
CARL-2004919-A500-40,3938,3938,,310.0,325.0,0.12,88.1,5.0,4.1,9.4,1076,2
CARL-2004919-A500-60,3892,3892,,52.0,72.0,0.09,89.8,3.8,3.0,,1077,1
CARL-2004919-A500-60,3893,3893,,103.0,123.0,0.07,92.3,,,3.0,1078,2
CARL-2004919-A500-60,3894,3894,,156.0,176.0,0.1,90.3,3.9,3.3,,1079,3
CARL-2004919-A700+-0,3895,3895,,88.0,108.0,0.07,92.9,3.6,3.0,,1080,1
CARL-2004919-A700+-0,3896,3896,,145.0,165.0,0.09,91.6,,,,1081,2
CARL-2004919-A700+-0,3897,3897,,208.0,228.0,0.12,88.5,4.0,3.2,5.8,1082,3
CARL-2004919-A700-40,3898,3898,,28.0,48.0,0.1,90.0,3.6,2.9,9.2,1083,1
CARL-2004919-A700-40,3899,3899,,174.0,194.0,0.07,93.0,4.0,3.1,,1084,2
CARL-2004919-A700-40,3900,3900,,240.0,260.0,0.07,93.1,,,,1085,3
CARL-2004919-A900-20,3901,3901,,55.0,75.0,0.08,91.8,3.7,3.0,,1086,1
CARL-2004919-A900-20,3902,3902,,102.0,122.0,0.06,93.3,,,1.6,1087,2
CARL-2004919-A900-20,3903,3903,,141.0,161.0,0.07,92.6,4.1,3.1,,1088,3
CARL-2004919-A900-20,3904,3904,,189.0,209.0,0.08,91.5,,,3.7,1089,4
CARL-2004919-D+100-600,5010,5010,,0.0,20.0,,,3.6,2.9,,1090,1
CARL-2004919-D+100-600,5011,5011,,20.0,50.0,,,3.6,2.8,,1091,2
CARL-2004919-D+100-600,5012,5012,,70.0,100.0,,,3.7,2.9,,1092,3
CARL-2004919-D+100-600,5013,5013,,150.0,180.0,,,4.0,3.2,,1093,4
CARL-2004919-E+600-600,5014,5014,,0.0,20.0,,,3.8,3.0,,1094,1
CARL-2004919-E+600-600,5015,5015,,20.0,50.0,,,3.9,3.1,,1095,2
CARL-2004919-E+600-600,5016,5016,,70.0,100.0,,,4.2,3.3,,1096,3
CARL-2004919-E+600-600,5017,5017,,150.0,180.0,,,4.7,3.7,,1097,4
CARL-2104816-175,3507,3507,,50.0,75.0,0.11,88.0,4.9,4.0,8.7,1098,1
CARL-2104822-182,3508,3508,,0.0,90.0,,92.9,,,8.1,1099,1
CARL-2104822-182,3509,3509,,140.0,190.0,0.09,90.4,5.4,4.7,7.7,1100,2
CARL-2104822-182,3510,3510,,200.0,250.0,0.12,88.3,5.3,4.8,10.4,1101,3
CARL-2104829-203,3518,3518,,30.0,45.0,0.15,84.0,4.4,3.6,6.9,1102,1
CARL-2104836-279,3522,3522,,25.0,50.0,0.08,91.7,3.8,3.0,4.5,1103,1
CARL-2104836-279,3523,3523,,150.0,165.0,0.08,91.4,3.9,3.0,4.1,1104,2
CARL-2104912-134,3606,3606,,40.0,55.0,0.1,87.6,4.2,3.5,5.0,1105,1
CARL-2104912-134,3607,3607,,135.0,150.0,0.13,87.0,4.2,3.3,6.2,1106,2
CARL-2104912-134,3608,3608,,235.0,250.0,0.13,87.1,4.4,3.7,10.8,1107,3
CARL-2104924-160,3601,3601,,40.0,55.0,0.1,88.9,4.0,3.0,6.5,1108,1
CARL-2104924-160,3602,3602,,60.0,75.0,0.09,89.6,4.1,2.9,4.2,1109,2
CARL-2104924-160,3603,3603,,235.0,250.0,0.11,89.4,4.4,3.3,4.3,1110,3
CARL-2104924-612,3939,3939,,10.0,25.0,0.06,91.9,3.6,3.0,4.7,1111,1
CARL-2104924-612,3940,3940,,30.0,45.0,0.12,86.4,3.7,3.0,11.2,1112,2
CARL-2104924-612,3941,3941,,105.0,120.0,0.08,91.8,4.1,3.2,3.5,1113,3
CARL-2104924-612,3942,3942,,130.0,145.0,0.08,91.8,4.2,3.2,4.6,1114,4
CARL-2104924-612,3943,3943,,200.0,215.0,0.1,90.2,4.5,3.5,6.1,1115,5
CARL-2104924-A100+-0,3883,3883,,35.0,55.0,0.12,88.6,,,,1116,1
CARL-2104924-A100+-0,3884,3884,,84.0,104.0,0.06,93.5,3.6,3.0,2.6,1117,2
CARL-2104924-A100+-0,3885,3885,,136.0,156.0,0.07,92.8,3.9,3.2,,1118,3
CARL-2104924-A100-40,3886,3886,,35.0,55.0,0.1,88.9,,,,1119,1
CARL-2104924-A100-40,3887,3887,,80.0,100.0,0.07,92.5,3.7,3.0,2.5,1120,2
CARL-2104924-A300-30,3888,3888,,58.0,78.0,0.1,90.7,3.5,2.9,7.2,1121,1
CARL-2104924-A300-30,3889,3889,,105.0,125.0,0.07,93.0,,,,1122,2
CARL-2104924-A300-30,3890,3890,,150.0,170.0,0.07,92.5,3.9,3.0,,1123,3
CARL-2104924-A300-30,3891,3891,,200.0,220.0,0.08,92.4,,,,1124,4
CARL-2104924-F+400-200,5018,5018,,0.0,20.0,,,3.7,2.9,,1125,1
CARL-2104924-F+400-200,5019,5019,,20.0,50.0,,,3.7,2.9,,1126,2
CARL-2104924-F+400-200,5020,5020,,70.0,100.0,,,3.7,2.9,,1127,3
CARL-2104924-F+400-200,5021,5021,,150.0,180.0,,,4.2,3.2,,1128,4
CARL-2104931-115,3589,3589,,0.0,30.0,0.07,94.4,3.5,3.0,6.6,1129,1
CARL-2104931-115,3590,3590,,30.0,90.0,0.13,87.9,3.8,3.1,6.7,1130,2
CARL-2104931-115,3591,3591,,90.0,150.0,0.15,84.7,3.9,3.2,12.2,1131,3
CHIS-2103510-4,3931,3931,,15.0,30.0,0.23,65.4,6.0,5.6,18.1,1132,1
CHIS-2103510-4,3932,3932,,76.0,91.0,0.16,83.2,6.1,5.8,12.3,1133,2
CHIS-2103510-4,3933,3933,,125.0,140.0,0.26,78.6,6.2,5.7,17.9,1134,3
CHIS-2103515-17,3934,3934,,25.0,40.0,0.25,77.4,6.4,5.8,24.9,1135,1
CHIS-2103515-20,3935,3935,,34.0,49.0,0.27,70.7,,,20.1,1136,1
CROW-2904630-2,3650,3650,,91.0,122.0,0.11,89.0,5.3,4.5,7.5,1137,1
CROW-2904630-2,3651,3651,,152.0,183.0,0.12,88.5,5.3,4.6,12.1,1138,2
CROW-2904630-2,3652,3652,,183.0,213.0,0.12,89.3,5.3,4.6,9.5,1139,3
CROW-2904630-2,3653,3653,,213.0,244.0,0.15,86.9,5.5,4.7,16.6,1140,4
CROW-2904630-2,3654,3654,,274.0,305.0,0.19,83.0,5.6,4.9,25.9,1141,5
CROW-2904630-2,3655,3655,,305.0,335.0,0.13,88.4,5.7,4.9,13.8,1142,6
ITAS-2205336-302,3612,3612,,140.0,155.0,0.05,94.8,4.1,3.0,2.9,1143,1
ITAS-2205336-302,3613,3613,,210.0,225.0,0.05,93.9,4.7,3.6,4.2,1144,2
ITAS-2205336-302,3614,3614,,300.0,315.0,0.11,87.9,5.5,4.7,13.5,1145,3
ITAS-2205336-313,3615,3615,,135.0,150.0,0.09,90.7,4.2,3.3,3.8,1146,1
ITAS-2205336-313,3616,3616,,240.0,255.0,0.1,89.1,4.8,3.9,10.3,1147,2
ITAS-2205905-52,3547,3547,,30.0,45.0,0.18,82.9,4.9,4.6,14.6,1148,1
ITAS-2205905-52,3548,3548,,60.0,75.0,0.26,78.2,5.4,5.0,23.6,1149,2
ITAS-2205910-71,3549,3549,,20.0,35.0,0.12,87.4,4.4,3.8,8.3,1150,1
ITAS-2205910-71,3550,3550,,70.0,85.0,0.11,90.7,4.5,3.9,5.8,1151,2
ITAS-2205910-71,3551,3551,,,,0.13,87.7,5.0,4.2,6.0,1152,3
ITAS-2205910-71,3552,3552,,,,0.2,82.4,5.5,4.9,14.8,1153,4
ITAS-2305518-481,4026,4026,,48.0,60.0,,,4.1,3.1,,1154,1
ITAS-2305518-481,4027,4027,,60.0,75.0,0.12,88.6,,,6.1,1155,2
ITAS-2305518-481,4028,4028,,80.0,90.0,,,3.9,3.2,,1156,3
ITAS-2305518-481,4029,4029,,90.0,105.0,0.14,85.3,,,4.4,1157,4
ITAS-2305518-481,4030,4030,,105.0,110.0,,,4.2,3.4,,1158,5
ITAS-2305518-481,4031,4031,,110.0,125.0,0.16,85.3,,,8.4,1159,6
ITAS-2305518-481,4032,4032,,190.0,200.0,,,5.3,4.6,,1160,7
ITAS-2305518-481,4033,4033,,200.0,215.0,0.15,85.9,,,10.7,1161,8
ITAS-2305924-231,3586,3586,,0.0,50.0,0.1,88.9,3.9,3.1,3.5,1162,1
ITAS-2305924-231,3587,3587,,60.0,120.0,0.11,89.1,4.0,3.2,3.9,1163,2
ITAS-2305924-231,3588,3588,,120.0,180.0,0.11,90.2,4.1,3.3,3.6,1164,3
ITAS-2306031-36,3540,3540,,30.0,45.0,0.11,87.1,4.4,3.5,5.1,1165,1
ITAS-2306031-36,3541,3541,,85.0,100.0,0.16,85.7,4.7,3.8,7.6,1166,2
ITAS-2306031-36,3542,3542,,285.0,300.0,0.23,80.1,5.1,4.7,25.4,1167,3
ITAS-2306032-38,3543,3543,,30.0,45.0,,94.6,,,8.6,1168,1
ITAS-2306032-38,3544,3544,,75.0,90.0,0.21,80.5,5.6,5.0,21.8,1169,2
ITAS-2306106-252,3571,3571,,30.0,45.0,0.2,79.1,5.8,5.5,21.5,1170,1
ITAS-2306107-33,3538,3538,,30.0,45.0,0.13,88.9,5.6,5.3,9.7,1171,1
ITAS-2306107-33,3539,3539,,70.0,85.0,0.18,84.5,6.0,5.5,13.2,1172,2
ITAS-2306223-228,3573,3573,,60.0,100.0,0.12,87.9,5.8,5.3,10.1,1173,1
ITAS-2306223-228,3574,3574,,110.0,140.0,0.18,83.3,5.6,5.3,14.3,1174,2
ITAS-2306223-228,3575,3575,,160.0,180.0,0.17,85.3,5.5,5.2,11.5,1175,3
ITAS-2306223-229,3572,3572,,85.0,100.0,0.14,86.4,6.1,5.7,17.2,1176,1
ITAS-2405513-483,4039,4039,,30.0,55.0,,,4.1,3.2,,1177,1
ITAS-2405513-483,4041,4041,,35.0,50.0,0.11,88.3,,,14.3,1178,2
ITAS-2405513-483,4043-1,4043,1.0,160.0,175.0,0.16,85.5,,,10.6,1179,3
ITAS-2405513-483,4043-2,4043,2.0,175.0,200.0,,,5.4,4.4,,1180,4
ITAS-2405524-482,4034,4034,,125.0,150.0,,,6.4,5.4,,1181,1
ITAS-2405524-482,4035,4035,,130.0,145.0,0.18,84.2,,,13.6,1182,2
ITAS-2405524-482,4037,4037,,170.0,195.0,,,6.4,5.6,,1183,3
ITAS-2405524-482,4038,4038,,175.0,190.0,0.19,83.3,,,14.9,1184,4
ITAS-2405901-42,3545,3545,,20.0,35.0,0.08,91.4,4.6,4.0,8.8,1185,1
ITAS-2405901-42,3546,3546,,60.0,75.0,0.21,80.5,4.1,3.8,36.8,1186,2
ITAS-2406118-31,3534,3534,,30.0,45.0,0.17,85.4,4.4,3.9,8.9,1187,1
ITAS-2406118-31,3535,3535,,120.0,135.0,0.1,91.1,5.8,5.0,6.0,1188,2
ITAS-2406118-31,3536,3536,,270.0,285.0,0.12,89.1,6.0,5.4,7.1,1189,3
ITAS-2406118-31,3537,3537,,420.0,435.0,0.26,78.2,5.5,5.4,31.5,1190,4
ITAS-2706112-23,3531,3531,,30.0,45.0,0.12,89.4,4.2,3.3,4.9,1191,1
ITAS-2706112-23,3532,3532,,50.0,75.0,0.14,88.0,4.4,3.4,5.1,1192,2
ITAS-2706112-23,3533,3533,,110.0,125.0,0.11,89.8,5.4,4.6,7.0,1193,3
KANA-2404216-9,3875,3875,,38.0,53.0,0.17,84.0,6.2,5.6,16.9,1194,1
KANA-2404216-9,3876,3876,,90.0,105.0,0.15,85.9,6.0,5.4,9.6,1195,2
KANA-2404216-9,3877,3877,,120.0,135.0,0.14,87.1,5.9,5.3,8.0,1196,3
KOOC-2206709-631,3069,3069,,35.0,50.0,,92.3,5.3,5.5,10.0,1197,1
KOOC-2206709-631,3070,3070,,85.0,100.0,0.16,84.9,5.2,5.3,10.2,1198,2
KOOC-2206709-631,3071,3071,,135.0,150.0,0.15,85.8,5.2,5.4,10.8,1199,3
KOOC-2206709-631,3072,3072,,185.0,200.0,0.18,82.3,5.6,5.5,14.9,1200,4
KOOC-2206709-631,3073,3073,,235.0,250.0,0.22,80.5,5.7,5.6,19.1,1201,5
KOOC-2206709-631,3074,3074,,285.0,300.0,0.19,82.6,5.8,5.7,13.3,1202,6
KOOC-2206709-631,3075,3075,,335.0,350.0,0.17,83.7,5.8,5.7,12.1,1203,7
KOOC-2206709-631,3076,3076,,385.0,400.0,0.18,82.5,5.6,5.5,16.1,1204,8
KOOC-2206709-631,3077,3077,,435.0,450.0,0.17,82.9,5.8,5.8,18.6,1205,9
KOOC-2206905-27,2934,2934,,35.0,50.0,0.02,96.4,3.6,3.2,6.4,1206,1
KOOC-2206905-27,2935,2935,,85.0,100.0,0.07,92.9,3.8,3.1,5.0,1207,2
KOOC-2206905-27,2936,2936,,135.0,150.0,0.06,92.8,4.1,3.5,4.8,1208,3
