DNR Peat Inventory ID #,D_Sample #,D_Sampnum,D_Sampnsub,D_Top Depth (cm),D_Bottom Depth (cm),D_Bulk Density (g/cc),D_Moisture Content (%),D_PH H2O,D_PH CaCl2,D_Ash Content (%),D_Uniq_id,D_Depthnum
AITK-2205201-257,1877,1877,,135.0,150.0,0.08,91.0,6.1,4.6,5.4,55,3
AITK-2205201-257,1878,1878,,185.0,200.0,0.09,89.2,6.2,5.0,7.5,56,4
AITK-2205201-257,1879,1879,,235.0,250.0,0.14,87.4,6.0,3.8,15.4,57,5
AITK-2205201-257,1880,1880,,285.0,300.0,0.12,87.8,6.0,4.5,9.6,58,6
AITK-2205201-257,1881,1881,,335.0,350.0,0.17,85.0,6.1,4.7,14.8,59,7
AITK-2205201-257,1882,1882,,370.0,385.0,0.17,84.0,6.2,5.0,14.8,60,8
AITK-2205201-258,1884,1884,,35.0,50.0,0.07,92.3,4.7,4.0,4.7,61,1
AITK-2205201-258,1885,1885,,85.0,100.0,0.1,90.9,5.2,4.8,6.3,62,2
AITK-2205201-258,1886,1886,,135.0,150.0,0.1,90.6,5.7,4.9,7.5,63,3
AITK-2205201-258,1887,1887,,185.0,200.0,0.11,89.1,5.9,5.2,10.9,64,4
AITK-2205201-258,1888,1888,,235.0,250.0,0.11,89.9,6.0,5.2,11.5,65,5
AITK-2205201-258,1889,1889,,285.0,300.0,0.08,91.4,6.0,5.4,9.6,66,6
AITK-2205201-258,1890,1890,,335.0,350.0,0.12,88.6,6.1,5.4,8.4,67,7
AITK-2205201-258,1891,1891,,385.0,400.0,0.1,89.8,6.2,5.6,11.8,68,8
AITK-2205201-258,1892,1892,,400.0,435.0,0.18,84.2,5.8,5.5,26.6,69,9
AITK-2205201-258,1893,1893,,485.0,500.0,0.11,88.8,5.7,5.6,10.4,70,10
AITK-2205201-258,1894,1894,,528.0,543.0,0.14,88.0,4.2,4.2,17.8,71,11
AITK-2205201-268,1970,1970,,35.0,50.0,0.05,95.4,4.1,2.7,5.4,72,1
AITK-2205201-268,1971,1971,,85.0,100.0,0.06,93.0,3.8,3.0,8.2,73,2
AITK-2205201-268,1972,1972,,135.0,150.0,0.04,93.9,4.6,3.6,4.2,74,3
AITK-2205201-268,1973,1973,,185.0,200.0,0.06,93.1,5.2,4.4,5.2,75,4
AITK-2205201-268,1974,1974,,235.0,250.0,0.07,92.3,5.6,5.0,7.2,76,5
AITK-2205201-268,1975,1975,,285.0,300.0,0.09,91.0,5.9,5.2,8.1,77,6
AITK-2205201-268,1976,1976,,335.0,350.0,0.12,88.8,5.9,5.4,11.9,78,7
AITK-2205201-268,1977,1977,,385.0,400.0,0.14,86.2,5.8,5.3,13.6,79,8
AITK-2205202-259,1898,1898,,35.0,50.0,0.06,92.7,4.3,3.0,7.2,80,1
AITK-2205202-259,1899,1899,,85.0,100.0,0.08,91.7,4.4,3.3,3.8,81,2
AITK-2205202-259,1900,1900,,135.0,150.0,0.08,92.0,4.7,3.6,5.2,82,3
AITK-2205202-259,1901,1901,,185.0,200.0,0.08,91.8,5.2,4.2,6.0,83,4
AITK-2205202-259,1902,1902,,235.0,250.0,0.13,88.1,5.3,4.5,11.9,84,5
AITK-2205202-259,1903,1903,,285.0,300.0,0.11,89.0,5.4,4.6,8.6,85,6
AITK-2205202-259,1904,1904,,335.0,350.0,0.09,90.1,5.5,4.7,13.0,86,7
AITK-2205202-259,1905,1905,,385.0,400.0,0.12,88.4,5.4,4.8,8.1,87,8
AITK-2205202-259,1906,1906,,420.0,435.0,0.17,84.8,5.6,4.9,25.3,88,9
AITK-2205202-260,1908,1908,,35.0,50.0,0.12,87.8,4.4,3.7,6.2,89,1
AITK-2205202-260,1909,1909,,85.0,100.0,0.08,91.3,4.8,4.0,6.1,90,2
AITK-2205202-260,1910,1910,,135.0,150.0,0.11,89.3,5.2,4.5,7.6,91,3
AITK-2205202-260,1911,1911,,180.0,195.0,0.17,83.6,5.6,4.9,43.8,92,4
AITK-2205202-261,1913,1913,,35.0,50.0,0.1,90.3,4.8,4.1,7.1,93,1
AITK-2205202-261,1914,1914,,85.0,100.0,0.11,88.9,5.2,4.5,8.0,94,2
AITK-2205202-262,1916,1916,,35.0,50.0,0.12,87.6,3.8,2.8,5.8,95,1
AITK-2205202-262,1917,1917,,85.0,100.0,0.08,91.9,3.8,2.8,3.8,96,2
AITK-2205202-262,1918,1918,,135.0,150.0,0.09,91.2,4.0,3.2,3.1,97,3
AITK-2205202-262,1919,1919,,185.0,200.0,0.09,90.9,4.3,3.4,5.2,98,4
AITK-2205202-262,1920,1920,,235.0,250.0,0.1,90.2,4.5,3.7,10.3,99,5
AITK-2205202-262,1921,1921,,285.0,300.0,0.11,88.9,4.8,4.0,8.5,100,6
AITK-2205202-262,1922,1922,,335.0,350.0,0.12,88.8,4.8,4.2,6.1,101,7
AITK-2205202-262,1923,1923,,385.0,400.0,0.11,88.8,5.0,4.4,15.0,102,8
AITK-2205202-262,1924,1924,,435.0,450.0,0.15,86.3,5.0,4.5,17.6,103,9
AITK-2205202-263,1926,1926,,35.0,50.0,0.08,91.7,4.0,2.9,5.2,104,1
AITK-2205202-263,1927,1927,,85.0,100.0,0.08,92.3,4.4,3.4,5.1,105,2
AITK-2205202-263,1928,1928,,135.0,150.0,0.08,92.2,4.5,3.6,5.7,106,3
AITK-2205202-263,1929,1929,,185.0,200.0,0.1,90.4,4.9,4.2,7.0,107,4
AITK-2205202-263,1930,1930,,235.0,250.0,0.11,89.5,5.1,4.4,7.7,108,5
AITK-2205202-263,1931,1931,,285.0,300.0,0.11,89.6,5.2,4.6,10.2,109,6
AITK-2205202-263,1932,1932,,335.0,350.0,0.11,89.4,5.2,4.6,11.0,110,7
AITK-2205202-264,1934,1934,,35.0,50.0,0.12,88.6,4.3,3.6,6.2,111,1
AITK-2205202-264,1935,1935,,65.0,80.0,0.09,91.0,5.0,4.2,6.0,112,2
AITK-2205202-264,1936,1936,,135.0,150.0,0.11,89.5,5.4,4.8,7.3,113,3
AITK-2205202-264,1937,1937,,185.0,200.0,0.12,88.7,5.5,5.0,9.5,114,4
AITK-2205202-264,1938,1938,,235.0,250.0,0.16,85.0,5.5,4.9,15.6,115,5
AITK-2205202-264,1939,1939,,285.0,300.0,0.14,86.2,5.7,5.0,8.8,116,6
AITK-2205202-264,1940,1940,,335.0,350.0,0.18,83.8,5.5,5.0,11.1,117,7
AITK-2205202-264,1941,1941,,370.0,385.0,0.18,81.2,5.5,5.1,13.0,118,8
AITK-2205202-265,1943,1943,,35.0,50.0,0.11,88.8,5.0,4.4,7.2,119,1
AITK-2205202-265,1944,1944,,85.0,100.0,0.1,89.7,5.6,5.0,6.6,120,2
AITK-2205202-265,1945,1945,,135.0,150.0,0.12,88.3,5.8,5.1,11.9,121,3
AITK-2205202-265,1946,1946,,185.0,200.0,0.12,88.3,5.6,5.0,10.8,122,4
AITK-2205202-265,1947,1947,,235.0,250.0,0.21,82.9,5.6,5.1,12.3,123,5
AITK-2205202-266,1949,1949,,35.0,50.0,0.09,91.0,3.8,2.8,6.0,124,1
AITK-2205202-266,1950,1950,,85.0,100.0,0.08,92.4,4.1,3.1,9.1,125,2
AITK-2205202-266,1951,1951,,135.0,150.0,0.07,92.9,4.5,3.2,5.0,126,3
AITK-2205202-266,1952,1952,,185.0,200.0,0.07,92.1,5.3,4.5,5.8,127,4
AITK-2205202-266,1953,1953,,235.0,250.0,0.11,89.3,5.4,4.8,7.5,128,5
AITK-2205202-266,1954,1954,,285.0,300.0,0.12,88.2,5.6,5.0,11.9,129,6
AITK-2205202-266,1955,1955,,335.0,350.0,0.12,89.0,5.8,5.1,11.4,130,7
AITK-2205202-266,1956,1956,,385.0,400.0,0.14,86.0,5.7,5.2,16.4,131,8
AITK-2205202-266,1957,1957,,435.0,450.0,0.14,86.9,5.9,5.2,13.3,132,9
AITK-2205202-266,1958,1958,,485.0,500.0,0.15,85.9,5.6,5.2,13.4,133,10
AITK-2205202-267,1961,1961,,35.0,50.0,0.08,91.5,3.6,2.9,5.6,134,1
AITK-2205202-267,1962,1962,,85.0,100.0,0.08,92.0,4.0,3.0,4.1,135,2
AITK-2205202-267,1963,1963,,135.0,150.0,0.06,93.0,4.2,3.5,3.6,136,3
AITK-2205202-267,1964,1964,,185.0,200.0,0.08,90.9,5.1,4.4,6.0,137,4
AITK-2205202-267,1965,1965,,235.0,250.0,0.1,90.4,5.2,4.5,7.4,138,5
AITK-2205202-267,1966,1966,,285.0,300.0,0.1,90.6,5.7,5.0,9.9,139,6
AITK-2205202-267,1967,1967,,335.0,350.0,0.09,91.3,5.8,5.1,7.6,140,7
AITK-2205202-267,1968,1968,,385.0,400.0,0.15,85.5,5.7,5.1,10.0,141,8
AITK-2205203-2,3094,3094,,35.0,50.0,,,4.3,3.0,,142,1
AITK-2205203-2,3095,3095,,85.0,100.0,,,4.7,3.4,,143,2
AITK-2205203-2,3096,3096,,135.0,150.0,,,5.1,4.1,,144,3
AITK-2205203-2,3097,3097,,185.0,200.0,0.07,91.8,5.4,4.5,7.1,145,4
AITK-2205203-2,3098,3098,,235.0,250.0,0.07,92.3,5.7,4.7,8.3,146,5
AITK-2205203-2,3099,3099,,285.0,300.0,0.09,90.7,5.8,4.8,10.6,147,6
AITK-2205203-2,3100,3100,,335.0,350.0,0.12,89.0,6.0,5.1,12.3,148,7
AITK-2205204-250,1821,1821,,35.0,50.0,0.1,90.1,3.2,3.0,7.4,149,1
AITK-2205204-250,1822,1822,,85.0,100.0,0.07,92.3,3.2,3.0,4.4,150,2
AITK-2205204-250,1823,1823,,135.0,150.0,0.09,91.4,3.9,3.7,4.3,151,3
AITK-2205204-250,1824,1824,,185.0,200.0,0.08,91.3,4.4,4.2,4.9,152,4
AITK-2205204-250,1825,1825,,235.0,250.0,0.11,89.0,4.9,4.6,11.1,153,5
AITK-2205204-250,1826,1826,,285.0,300.0,0.1,89.6,5.2,5.0,8.7,154,6
AITK-2205204-250,1827,1827,,335.0,350.0,0.12,87.9,5.1,5.0,14.2,155,7
AITK-2205204-250,1828,1828,,385.0,400.0,0.15,85.5,5.3,5.2,14.4,156,8
AITK-2205204-250,1829,1829,,435.0,450.0,0.14,87.0,5.4,5.4,11.6,157,9
AITK-2205204-250,1830,1830,,472.0,487.0,0.11,88.7,5.4,5.0,13.5,158,10
AITK-2205204-251,1832,1832,,35.0,50.0,0.12,89.2,3.2,2.8,7.4,159,1
AITK-2205204-251,1833,1833,,85.0,100.0,0.1,90.4,3.7,3.4,8.0,160,2
AITK-2205204-251,1834,1834,,135.0,150.0,0.1,90.5,4.0,3.6,8.0,161,3
AITK-2205204-251,1835,1835,,185.0,200.0,0.1,89.8,4.3,3.8,7.1,162,4
AITK-2205204-251,1836,1836,,235.0,250.0,0.11,90.0,4.5,4.0,8.6,163,5
AITK-2205204-251,1837,1837,,285.0,300.0,0.12,88.3,4.7,4.2,8.7,164,6
AITK-2205204-251,1838,1838,,335.0,350.0,0.13,88.0,4.9,4.4,9.3,165,7
AITK-2205204-251,1839,1839,,385.0,400.0,0.19,83.2,5.0,4.6,15.2,166,8
AITK-2205209-252,1841,1841,,35.0,50.0,0.1,90.9,4.8,4.5,6.4,167,1
AITK-2205209-252,1842,1842,,85.0,100.0,0.09,91.0,4.7,4.5,7.2,168,2
AITK-2205209-252,1843,1843,,135.0,150.0,0.1,91.0,4.8,4.5,5.8,169,3
AITK-2205209-252,1844,1844,,185.0,200.0,0.1,90.3,5.2,4.9,9.8,170,4
AITK-2205209-252,1845,1845,,235.0,250.0,0.12,89.3,5.2,4.9,9.5,171,5
AITK-2205209-252,1846,1846,,285.0,300.0,0.12,88.6,5.4,5.2,11.4,172,6
AITK-2205209-252,1847,1847,,335.0,350.0,0.13,87.9,5.4,5.2,14.1,173,7
AITK-2205209-252,1848,1848,,385.0,400.0,0.17,83.8,5.4,5.2,18.6,174,8
AITK-2205209-253,1850,1850,,35.0,50.0,0.14,87.3,4.7,4.0,7.4,175,1
AITK-2205209-253,1851,1851,,85.0,100.0,0.1,90.2,5.0,4.2,10.8,176,2
AITK-2205209-253,1852,1852,,135.0,150.0,0.09,91.0,5.2,4.2,6.5,177,3
AITK-2205209-253,1853,1853,,185.0,200.0,0.12,88.4,5.1,4.4,11.3,178,4
AITK-2205209-253,1854,1854,,220.0,235.0,0.14,87.3,5.2,4.5,9.3,179,5
AITK-2205210-254,1855,1855,,35.0,50.0,0.09,90.6,4.2,3.6,7.6,180,1
AITK-2205210-254,1856,1856,,85.0,100.0,0.12,88.7,4.6,3.9,9.9,181,2
AITK-2205210-254,1857,1857,,135.0,150.0,0.12,88.9,4.9,4.2,6.7,182,3
AITK-2205210-254,1858,1858,,185.0,200.0,0.13,87.8,5.1,4.6,10.3,183,4
AITK-2205210-254,1859,1859,,235.0,250.0,0.17,85.4,5.1,4.6,9.6,184,5
AITK-2205210-254,1860,1860,,285.0,300.0,0.15,84.3,5.2,4.8,10.5,185,6
AITK-2205210-255,1862,1862,,35.0,50.0,0.15,84.5,5.0,4.6,15.8,186,1
AITK-2205210-255,1863,1863,,85.0,100.0,0.09,90.2,5.9,5.6,12.5,187,2
AITK-2205210-255,1864,1864,,135.0,150.0,0.13,88.4,5.4,4.8,7.0,188,3
AITK-2205210-255,1865,1865,,185.0,200.0,0.19,82.9,5.5,5.1,25.8,189,4
AITK-2205211-209,1791,1791,,35.0,50.0,0.1,90.6,3.3,2.6,5.2,190,1
AITK-2205211-209,1792,1792,,85.0,100.0,0.08,91.3,3.4,2.8,5.3,191,2
AITK-2205211-209,1793,1793,,135.0,150.0,0.14,86.4,3.4,2.9,6.4,192,3
AITK-2205212-208,1782,1782,,35.0,50.0,0.09,91.2,3.4,2.6,7.7,193,1
AITK-2205212-208,1783,1783,,85.0,100.0,0.06,93.8,3.5,2.8,3.3,194,2
AITK-2205212-208,1784,1784,,135.0,150.0,0.08,91.8,3.6,3.0,4.5,195,3
AITK-2205212-208,1785,1785,,185.0,200.0,0.07,92.4,4.4,3.3,5.5,196,4
AITK-2205212-208,1786,1786,,235.0,250.0,0.14,86.5,5.0,4.0,9.2,197,5
AITK-2205212-208,1787,1787,,285.0,300.0,0.17,83.6,5.0,4.4,12.4,198,6
AITK-2205212-208,1788,1788,,307.0,322.0,0.23,80.1,4.8,4.4,15.6,199,7
AITK-2205213-206,1763,1763,,35.0,50.0,0.05,94.7,3.6,2.5,4.4,200,1
AITK-2205213-206,1764,1764,,85.0,100.0,0.05,93.3,3.8,2.7,5.4,201,2
AITK-2205213-206,1765,1765,,135.0,150.0,0.09,90.4,3.8,2.8,5.0,202,3
AITK-2205213-206,1766,1766,,185.0,200.0,0.06,93.9,4.0,3.0,4.7,203,4
AITK-2205213-206,1767,1767,,235.0,250.0,0.12,88.4,4.5,3.8,7.3,204,5
