DNR Peat Inventory ID #,Profile Description Info,Peat Moisture Info,IRRB Report Name,Profile Described By,Desc_who,Desc_when,DNR Lab Data Available,Prox-Ulti Data Available
CARL-2104924-G-100-100,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-100-200,,,,P. Geiselman and D. Riihiluom in September 1987,P. Geiselman and D. Riihiluom,September 1987,N,N
CARL-2104924-G-100-300,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-100-400,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-100-500,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-100-600,Site on mineral island,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-200+-0,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-200-100,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-200-200,Non-horticultural quality; 195-315cm no samples taken,,,"S. Nelson and H. Jamsa on November 4, 1987",S. Nelson and H. Jamsa,"November 4, 1987",N,N
CARL-2104924-G-200-300,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-200-400,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-200-500,Site on edge of mineral island,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-200-600,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-200-700,"Non-horticultural quality; approximately 50m to upland both to the south and to the east; surveyed by compass, line not cut.",,,"S. Nelson and H. Jamsa on November 4, 1987",S. Nelson and H. Jamsa,"November 4, 1987",N,N
CARL-2104924-G-300+-0,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-300-100,,,,"P. Geiselman and D. Riihiluoma on September 22, 1987",P. Geiselman and D. Riihiluoma,"September 22, 1987",N,N
CARL-2104924-G-300-200,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-300-300,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-300-400,"Non-horticultural quality, excellent energy peat; 200-270cm no samples taken",,,"S. Nelson and H. Jamsa on November 4, 1987",S. Nelson and H. Jamsa,"November 4, 1987",N,N
CARL-2104924-G-300-500,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-300-600,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-300-700,"Surveyed by compass, line not cut; 0-200cm no samples taken",,,"S. Nelson and H. Jamsa on November 4, 1987",S. Nelson and H. Jamsa,"November 4, 1987",N,N
CARL-2104924-G-400-200,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-400-300,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-400-400,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-400-500,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-400-600,Non-horticultural quality; 200-255cm no samples taken,,,"S. Nelson and H. Jamsa on November 4, 1987",S. Nelson and H. Jamsa,"November 4, 1987",N,N
CARL-2104924-G-400-700,"Non-horticultural quality; upland is approximately 50m to the west and approximately 100m to the south of this site; surveyed by compass, line not cut",,,"S. Nelson and H. Jamsa on November 4, 1987",S. Nelson and H. Jamsa,"November 4, 1987",N,N
CARL-2104924-G-450-200,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-450-300,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-450-400,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-450-500,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-450-600,Approximately 100 meters to upland from this site,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-G-75-600,,,,P. Geiselman and D. Riihiluoma in September 1987,P. Geiselman and D. Riihiluoma,September 1987,N,N
CARL-2104924-H0+-0,,,,"P. Geiselman and D. Riihiluoma on November 5, 1987",P. Geiselman and D. Riihiluoma,"November 5, 1987",N,N
CARL-2104924-H0+100,,,,"P. Geiselman and D. Riihiluoma on November 5, 1987",P. Geiselman and D. Riihiluoma,"November 5, 1987",N,N
CARL-2104924-H-100+-0,,,,"P. Geiselman and D. Riihiluoma on November 5, 1987",P. Geiselman and D. Riihiluoma,"November 5, 1987",N,N
CARL-2104925-648,,,,"M. Oberhelman and D. Riihiluoma on October 1, 1984",M. Oberhelman and D. Riihiluoma,"October 1, 1984",N,N
CARL-2104925-649,,,,"M. Oberhelman and D. Riihiluoma on October 1, 1984",M. Oberhelman and D. Riihiluoma,"October 1, 1984",N,N
CARL-2104925-650,,,,"M. Oberhelman and D. Riihiluoma on October 1, 1984",M. Oberhelman and D. Riihiluoma,"October 1, 1984",N,N
CARL-2104928-168,,,,"H. Mooers and L. Severson on June 15, 1981",H. Mooers and L. Severson,"June 15, 1981",N,N
CARL-2104928-169,,,,"L. Severson and H. Mooers on June 15, 1981",L. Severson and H. Mooers,"June 15, 1981",N,N
CARL-2104929-167,,,,"L. Severson and H. Mooers on June 15, 1981",L. Severson and H. Mooers,"June 15, 1981",N,N
CARL-2104930-166,,,,"L. Severson and H. Mooers on June 15, 1981",L. Severson and H. Mooers,"June 15, 1981",N,N
CARL-2104931-115,,,,"H. Mooers and D. Riihiluoma on May 7, 1981",H. Mooers and D. Riihiluoma,"May 7, 1981",Y,N
CARL-2104932-588,,,,"M. Oberhelman and S. Nelson on July 31, 1984",M. Oberhelman and S. Nelson,"July 31, 1984",N,N
CARL-2104932-589,,,,"S. Nelson and M. Oberhelman on July 31, 1984",S. Nelson and M. Oberhelman,"July 31, 1984",N,N
CARL-2104932-590,,,,"M. Oberhelman and S. Nelson on July 31, 1984",M. Oberhelman and S. Nelson,"July 31, 1984",N,N
