DNR Peat Inventory ID #,Profile Description Info,Peat Moisture Info,IRRB Report Name,Profile Described By,Desc_who,Desc_when,DNR Lab Data Available,Prox-Ulti Data Available
CARL-2104606-579,,,,"D. Olson and S. Nelson on June 19, 1984",D. Olson and S. Nelson,"June 19, 1984",N,N
CARL-2104606-580,,,,"S. Nelson and D. Olson on June 19, 1984",S. Nelson and D. Olson,"June 19, 1984",N,N
CARL-2104606-581,,,,"S. Nelson and D. Olson on June 19, 1984",S. Nelson and D. Olson,"June 19, 1984",N,N
CARL-2104613-566,Lignid dominant in peat profile,,,"S. Nelson, D. Riihiluoma, and D. Olson on June 18, 1984","S. Nelson, D. Riihiluoma, and D. Olson","June 18, 1984",N,N
CARL-2104614-311,,,,"D. Riihiluoma and L. Severson on October 21, 1982",D. Riihiluoma and L. Severson,"October 21, 1982",N,N
CARL-2104615-573,,,,"S. Nelson and D. Olson on June 21, 1984",S. Nelson and D. Olson,"June 21, 1984",N,N
CARL-2104615-574,,,,"S. Nelson and D. Olson on June 21, 1984",S. Nelson and D. Olson,"June 21, 1984",N,N
CARL-2104616-310,,,,"D. Riihiluoma and L. Severson on October 21, 1982",D. Riihiluoma and L. Severson,"October 21, 1982",N,N
CARL-2104616-575,,,,"S. Nelson and D. Olson on June 21, 1984",S. Nelson and D. Olson,"June 21, 1984",N,N
CARL-2104624-567,,,,"S. Nelson, D. Riihiluoma, and D. Olson on June 18, 1984","S. Nelson, D. Riihiluoma, and D. Olson","June 18, 1984",N,N
CARL-2104624-568,,,,"D. Riihiluoma, D. Olson, and S. Nelson on June 18, 1984","D. Riihiluoma, D. Olson, and S. Nelson","June 18, 1984",N,N
CARL-2104631-577,,,,"S. Nelson and D. Olson on June 20, 1984",S. Nelson and D. Olson,"June 20, 1984",N,N
CARL-2104632-213,,,,"D. Riihiluoma and H. Mooers on June 18, 1981",D. Riihiluoma and H. Mooers,"June 18, 1981",N,N
CARL-2104632-576,,,,"D. Olson and S. Nelson on June 20, 1984",D. Olson and S. Nelson,"June 20, 1984",N,N
CARL-2104632-578,,,,"S. Nelson and D. Olson on June 20, 1984",S. Nelson and D. Olson,"June 20, 1984",N,N
CARL-2104701-121,,,,"H. Mooers and D. Riihiluoma on May 7, 1981",H. Mooers and D. Riihiluoma,"May 7, 1981",N,N
CARL-2104701-361,,,,"S. Nelson and C. Buttleman on October 26, 1983",S. Nelson and C. Buttleman,"October 26, 1983",N,N
CARL-2104701-362,,30-61cm peat dryer than normal,,"C. Buttleman and S. Nelson on October 26, 1983",C. Buttleman and S. Nelson,"October 26, 1983",N,N
CARL-2104701-363,,,,"C. Buttleman and S. Nelson on October 26, 1983",C. Buttleman and S. Nelson,"October 26, 1983",N,N
CARL-2104701-364,,,,"S. Nelson and C. Buttleman on October 26, 1983",S. Nelson and C. Buttleman,"October 26, 1983",N,N
CARL-2104701-365,,,,"C. Buttleman and S. Nelson on October 26, 1983",C. Buttleman and S. Nelson,"October 26, 1983",N,N
CARL-2104701-366,,,,"C. Buttleman and S. Nelson on October 26, 1983",C. Buttleman and S. Nelson,"October 26, 1983",N,N
CARL-2104701-367,,,,"S. Nelson and C. Buttleman on October 26, 1983",S. Nelson and C. Buttleman,"October 26, 1983",N,N
CARL-2104701-368,,,,"C. Buttleman and S. Nelson on October 26, 1983",C. Buttleman and S. Nelson,"October 26, 1983",N,N
CARL-2104701-369,,,,"S. Nelson and C. Buttleman on October 26, 1983",S. Nelson and C. Buttleman,"October 26, 1983",N,N
CARL-2104701-370,,,,"C. Buttleman and S. Nelson on October 26, 1983",C. Buttleman and S. Nelson,"October 26, 1983",N,N
