DNR Peat Inventory ID #,Depthnum,Top Depth (cm),Bottom Depth (cm),Degree of Decomposition,Botanical Origin,Classification,Uniq_id
AITK-2204305-488,1,,30.0,H8,,Sapric,1
AITK-2204305-488,2,55.0,,B,,vfsl,2
AITK-2204336-506,1,,30.0,H5,RS/WF,Hemic,3
AITK-2204336-506,2,,60.0,H5,RS/WF,Hemic,4
AITK-2204336-506,3,,90.0,H4,RS/WF,Hemic,5
AITK-2204336-506,4,,120.0,H4,RS/WF,Hemic,6
AITK-2204336-506,5,,150.0,H5,RS,Hemic,7
AITK-2204336-506,6,,180.0,H4,RS,Hemic,8
AITK-2204336-506,7,,210.0,H4,RS,Hemic,9
AITK-2204336-506,8,,245.0,H5,RS,Hemic,10
AITK-2204336-506,9,275.0,,B,,fs,11
AITK-2204403-483,1,,30.0,H5,M/WF,Hemic,12
AITK-2204403-483,2,,60.0,H4,M,Hemic,13
AITK-2204403-483,3,,90.0,H5,,Hemic,14
AITK-2204403-483,4,0.0,20.0,,M,,15
AITK-2204403-483,5,105.0,,B,,fsl,16
AITK-2204409-482,1,,60.0,H8,,Sapric,17
AITK-2204409-482,2,,90.0,H5,RS,Hemic,18
AITK-2204409-482,3,,120.0,H5,,Hemic,19
AITK-2204409-482,4,,150.0,H5,,Hemic,20
AITK-2204409-482,5,,180.0,H5,,Hemic,21
AITK-2204409-482,6,,210.0,H6,,Hemic,22
AITK-2204409-482,7,,240.0,H8,,Sapric,23
AITK-2204409-482,8,,270.0,H6,,Hemic,24
AITK-2204409-482,9,0.0,45.0,H2,M,Fibric,25
AITK-2204409-482,10,300.0,370.0,B,,Limnic,26
AITK-2204409-482,11,370.0,,,,Limnic w/Min.soil,27
AITK-2204410-484,1,,30.0,H2,M,Fibric,28
AITK-2204410-484,2,,60.0,H5,RS,Hemic,29
AITK-2204410-484,3,,90.0,H6,,Hemic,30
AITK-2204410-484,4,,120.0,H5,,Hemic,31
AITK-2204410-484,5,135.0,,B,,fs,32
AITK-2204411-485,1,,30.0,H5,RS,Hemic,33
AITK-2204411-485,2,,60.0,H6,RS,Hemic,34
AITK-2204411-485,3,,90.0,H7,RS,Sapric,35
AITK-2204411-485,4,,120.0,H4,RS,Hemic,36
AITK-2204411-485,5,,150.0,H5,M/RS,Hemic,37
AITK-2204411-485,6,175.0,,B,,Min.soil,38
AITK-2204417-491,1,,30.0,H4,RS,Hemic,39
AITK-2204417-491,2,,60.0,H4,WF,Hemic,40
AITK-2204417-491,3,,90.0,H4,WF,Hemic,41
AITK-2204417-491,4,,120.0,H5,RS,Hemic,42
AITK-2204417-491,5,,150.0,H8,,Sapric,43
AITK-2204417-491,6,,180.0,H10,,Sapric,44
AITK-2204417-491,7,185.0,,B,,Min.soil,45
AITK-2204420-490,1,,30.0,H4,RS,Hemic,46
AITK-2204420-490,2,,60.0,H5,RS,Hemic,47
AITK-2204420-490,3,,90.0,H5,RS/WF,Hemic,48
AITK-2204420-490,4,,120.0,H5,RS,Hemic,49
AITK-2204420-490,5,150.0,,B,,scl,50
AITK-2204421-486,1,,30.0,H5,RS,Hemic,51
AITK-2204421-486,2,,60.0,H4,,Hemic,52
AITK-2204421-486,3,,90.0,H6,WF/RS,Hemic,53
AITK-2204421-486,4,,120.0,H5,WF/RS,Hemic,54
AITK-2204421-486,5,,150.0,H5,RS,Hemic,55
AITK-2204421-486,6,,180.0,H5,RS,Hemic,56
AITK-2204421-486,7,,210.0,H5,RS,Hemic,57
AITK-2204421-486,8,,240.0,H6,,Hemic,58
AITK-2204421-486,9,,270.0,H6,,Hemic,59
AITK-2204421-486,10,,300.0,H5,WF/RS,Hemic,60
AITK-2204421-486,11,330.0,390.0,B,,Limnic,61
AITK-2204421-486,12,390.0,,,,vfsl,62
AITK-2204429-489,1,,30.0,H4,RS/WF,Hemic,63
AITK-2204429-489,2,,60.0,H4,RS/WF,Hemic,64
AITK-2204429-489,3,,90.0,H5,RS,Hemic,65
AITK-2204429-489,4,,120.0,H5,RS,Hemic,66
AITK-2204429-489,5,,150.0,H5,RS,Hemic,67
AITK-2204429-489,6,165.0,,B,,sil,68
AITK-2204433-487,1,0.0,10.0,H8,,Sapric,69
AITK-2204433-487,2,10.0,20.0,B,,Min.soil w/peat,70
AITK-2204433-487,3,20.0,,,,sil,71
AITK-2204502-90,1,0.0,90.0,H9,,Sapric,72
AITK-2204502-90,2,90.0,,B,,sic over ms,73
AITK-2204511-87,1,0.0,180.0,H5,RS,Hemic,74
AITK-2204511-87,2,180.0,240.0,H4,RS,Hemic,75
AITK-2204511-87,3,240.0,300.0,H6,RS,Hemic,76
AITK-2204511-87,4,300.0,420.0,B,,Limnic,77
AITK-2204511-87,5,420.0,,,,l w/pebbles,78
AITK-2204511-88,1,0.0,150.0,H4,RS,Hemic,79
AITK-2204511-88,2,150.0,240.0,H5,RS,Hemic,80
AITK-2204511-88,3,240.0,365.0,H9,,Sapric w/Limnic?,81
AITK-2204511-88,4,365.0,425.0,H7,,Sapric,82
AITK-2204511-88,5,425.0,485.0,H9,,Sapric,83
AITK-2204511-88,6,485.0,,B,,s and g,84
AITK-2204511-89,1,0.0,120.0,H4,RS,Hemic,85
AITK-2204511-89,2,120.0,180.0,H5,RS,Hemic,86
AITK-2204511-89,3,180.0,285.0,H6,RS,Hemic,87
AITK-2204511-89,4,285.0,,B,,sil w/pebbles,88
AITK-2204518-475,1,,30.0,H6,,Hemic,89
AITK-2204518-475,2,,60.0,H6,,Hemic,90
AITK-2204518-475,3,,90.0,H5,,Hemic,91
AITK-2204518-475,4,,120.0,H5,,Hemic,92
AITK-2204518-475,5,,150.0,H5,,Hemic,93
AITK-2204518-475,6,,180.0,H5,RS,Hemic,94
AITK-2204518-475,7,210.0,,B,,si,95
AITK-2204520-468,1,0.0,90.0,H4,RS,Hemic,96
AITK-2204520-468,2,90.0,120.0,H3,RS,Fibric,97
AITK-2204520-468,3,120.0,180.0,H4,RS,Hemic,98
AITK-2204520-468,4,180.0,240.0,H5,RS,Hemic,99
AITK-2204520-468,5,240.0,330.0,H6,RS,Hemic,100
AITK-2204520-468,6,330.0,380.0,H7,RS,Sapric,101
AITK-2204520-468,7,380.0,,B,,cos and g,102
AITK-2204520-471,1,,30.0,H3,WF/RS,Fibric,103
AITK-2204520-471,2,,60.0,H4,,Hemic,104
AITK-2204520-471,3,,90.0,H4,,Hemic,105
AITK-2204520-471,4,,120.0,H5,,Hemic,106
AITK-2204520-471,5,,150.0,H4,,Hemic,107
AITK-2204520-471,6,,180.0,H4,,Hemic,108
AITK-2204520-471,7,,210.0,H5,,Hemic,109
AITK-2204520-471,8,,240.0,H5,,Hemic,110
AITK-2204520-471,9,270.0,,B,,sl,111
AITK-2204521-469,1,,120.0,H5,RS,Hemic,112
AITK-2204521-469,2,,150.0,H6,RS,Hemic,113
AITK-2204521-469,3,,180.0,H5,RS,Hemic,114
AITK-2204521-469,4,,210.0,H4,RS,Hemic,115
AITK-2204521-469,5,,240.0,H4,RS,Hemic,116
AITK-2204521-469,6,,270.0,H5,RS,Hemic,117
AITK-2204521-469,7,,390.0,H4,RS,Hemic,118
AITK-2204521-469,8,0.0,90.0,H4,RS,Hemic,119
AITK-2204521-469,9,300.0,360.0,H7,,Sapric,120
AITK-2204521-469,10,420.0,480.0,B,,Limnic,121
AITK-2204521-469,11,480.0,,,,ls and g,122
AITK-2204523-86,1,0.0,240.0,H5,RS/WF,Hemic,123
AITK-2204523-86,2,240.0,420.0,H4,RS,Hemic,124
AITK-2204523-86,3,420.0,540.0,B,,Limnic,125
AITK-2204523-86,4,540.0,,,,Min.soil,126
AITK-2204524-470,1,,30.0,H5,RS,Hemic,127
AITK-2204524-470,2,,60.0,H5,RS,Hemic,128
AITK-2204524-470,3,,90.0,H4,RS,Hemic,129
AITK-2204524-470,4,,120.0,H4,RS,Hemic,130
AITK-2204524-470,5,,150.0,H4,RS,Hemic,131
AITK-2204524-470,6,,180.0,H5,RS,Hemic,132
AITK-2204524-470,7,,210.0,H7,,Sapric,133
AITK-2204524-470,8,240.0,,B,,sil,134
AITK-2204603-434,1,,30.0,H4,RS,Hemic,135
AITK-2204603-434,2,,60.0,H5,RS,Hemic,136
AITK-2204603-434,3,,90.0,H5,,Hemic,137
AITK-2204603-434,4,,120.0,H5,,Hemic,138
AITK-2204603-434,5,,180.0,H4,RS,Hemic,139
AITK-2204603-434,6,,210.0,H5,,Hemic,140
AITK-2204603-434,7,,240.0,H4,,Hemic,141
AITK-2204603-434,8,,270.0,H6,,Hemic,142
AITK-2204603-434,9,300.0,,B,,c,143
AITK-2204603-436,1,,30.0,H4,RS,Hemic,144
AITK-2204603-436,2,,60.0,H5,,Hemic,145
AITK-2204603-436,3,,90.0,H6,RS,Hemic,146
AITK-2204603-436,4,,120.0,H6,,Hemic,147
AITK-2204603-436,5,120.0,,B,,l,148
AITK-2204604-435,1,,30.0,,,No sample collected,149
AITK-2204604-435,2,,60.0,H6,,Hemic,150
AITK-2204604-435,3,,90.0,H5,,Hemic,151
AITK-2204604-435,4,,120.0,H4,,Hemic,152
AITK-2204604-435,5,,150.0,H7,,Sapric,153
AITK-2204604-435,6,,180.0,H8,,Sapric,154
AITK-2204604-435,7,180.0,,B,,cl,155
AITK-2204605-121,1,0.0,150.0,H6,RS,Hemic,156
AITK-2204605-121,2,150.0,200.0,H9,,Sapric,157
AITK-2204605-121,3,200.0,,B,,ms - cos,158
AITK-2204608-122,1,0.0,150.0,H5,,Hemic,159
AITK-2204608-122,2,150.0,,B,,l w/pebbles,160
AITK-2204608-439,1,,30.0,H5,RS,Hemic,161
AITK-2204608-439,2,,60.0,H5,RS/WF,Hemic,162
AITK-2204608-439,3,,210.0,H3,RS,Fibric,163
AITK-2204608-439,4,,240.0,H3,RS,Fibric,164
AITK-2204608-439,5,,270.0,H4,RS,Hemic,165
AITK-2204608-439,6,,300.0,H6,,Hemic,166
AITK-2204608-439,7,,330.0,H6,,Hemic,167
AITK-2204608-439,8,,360.0,H5,,Hemic,168
AITK-2204608-439,9,,390.0,H6,,Hemic,169
AITK-2204608-439,10,90.0,180.0,H4,RS,Hemic,170
AITK-2204608-439,11,390.0,,B,,si,171
AITK-2204608-440,1,,30.0,H3,M/RS,Fibric,172
AITK-2204608-440,2,,60.0,H5,RS,Hemic,173
AITK-2204608-440,3,,90.0,H4,RS,Hemic,174
AITK-2204608-440,4,,120.0,H4,RS/WF,Hemic,175
AITK-2204608-440,5,,150.0,H4,RS/WF,Hemic,176
AITK-2204608-440,6,,180.0,H4,RS,Hemic,177
AITK-2204608-440,7,,210.0,H4,RS,Hemic,178
AITK-2204608-440,8,,240.0,H5,RS,Hemic,179
AITK-2204608-440,9,,270.0,H4,RS,Hemic,180
AITK-2204608-440,10,,300.0,H5,RS,Hemic,181
AITK-2204608-440,11,330.0,,B,,si w/pebbles,182
AITK-2204611-437,1,,30.0,H5,,Hemic,183
AITK-2204611-437,2,,60.0,H5,,Hemic,184
AITK-2204611-437,3,,90.0,H5,RS/WF,Hemic,185
AITK-2204611-437,4,,120.0,H6,,Hemic,186
AITK-2204611-437,5,,150.0,H5,RS,Hemic,187
AITK-2204611-437,6,,180.0,H4,RS,Hemic,188
AITK-2204611-437,7,,210.0,H4,RS,Hemic,189
AITK-2204611-437,8,,240.0,H4,RS/WF,Hemic,190
AITK-2204611-437,9,,270.0,H5,WF,Hemic,191
AITK-2204611-437,10,,330.0,H4,RS/M,Hemic,192
AITK-2204611-437,11,,360.0,H4,RS,Hemic,193
AITK-2204611-437,12,390.0,585.0,B,,Limnic,194
AITK-2204611-437,13,585.0,,,,vfs,195
AITK-2204621-438,1,,30.0,H4,RS,Hemic,196
AITK-2204621-438,2,,60.0,H4,RS,Hemic,197
AITK-2204621-438,3,,90.0,H6,RS,Hemic,198
AITK-2204621-438,4,,120.0,H6,RS,Hemic,199
AITK-2204621-438,5,,150.0,H7,,Sapric,200
AITK-2204621-438,6,,175.0,H7,,Sapric,201
AITK-2204621-438,7,180.0,,B,,sil w/pebbles,202
AITK-2204701-210,1,0.0,20.0,H4,M,Hemic,203
AITK-2204701-210,2,20.0,90.0,H6,RS,Hemic,204
AITK-2204701-210,3,90.0,450.0,H5,RS,Hemic,205
AITK-2204701-210,4,450.0,,B,,ls,206
AITK-2204701-415,1,,30.0,H4,M,Hemic,207
AITK-2204701-415,2,,60.0,H5,M/WF,Hemic,208
AITK-2204701-415,3,,90.0,H5,WF,Hemic,209
AITK-2204701-415,4,,120.0,H4,,Hemic,210
AITK-2204701-415,5,,150.0,H3,,Fibric,211
AITK-2204701-415,6,,180.0,H5,WF,Hemic,212
AITK-2204701-415,7,,210.0,H4,,Hemic,213
AITK-2204701-415,8,,240.0,H4,,Hemic,214
AITK-2204701-415,9,,270.0,H7,,Sapric,215
AITK-2204701-415,10,,300.0,H3,WF/RS,Fibric,216
AITK-2204701-415,11,,330.0,H3,WF/RS,Fibric,217
AITK-2204701-415,12,,360.0,H4,WF/RS,Hemic,218
AITK-2204701-415,13,,390.0,H4,WF,Hemic,219
AITK-2204701-415,14,,420.0,H6,WF,Hemic,220
AITK-2204701-415,15,450.0,,B,,cos and g,221
AITK-2204703-417,1,,30.0,H4,RS/WF,Hemic,222
AITK-2204703-417,2,,60.0,H7,,Sapric,223
AITK-2204703-417,3,,90.0,H6,,Hemic,224
AITK-2204703-417,4,,120.0,H5,,Hemic,225
AITK-2204703-417,5,,150.0,H5,,Hemic,226
AITK-2204703-417,6,,180.0,H6,,Hemic,227
AITK-2204703-417,7,,210.0,H6,,Hemic,228
AITK-2204703-417,8,,240.0,H7,,Sapric w/sand grains,229
AITK-2204703-417,9,270.0,,B,,sic,230
AITK-2204709-418,1,,30.0,H4,,Hemic,231
AITK-2204709-418,2,,60.0,H3,WF/RS,Fibric,232
AITK-2204709-418,3,,90.0,H5,,Hemic,233
AITK-2204709-418,4,,120.0,H5,WF/M,Hemic,234
AITK-2204709-418,5,,150.0,H4,WF,Hemic,235
AITK-2204709-418,6,,180.0,H4,RS/WF,Hemic,236
AITK-2204709-418,7,,210.0,,,Too wet to collect sample,237
AITK-2204709-418,8,,255.0,H3,RS/WF,Fibric,238
AITK-2204709-418,9,,270.0,H4,RS/WF,Hemic,239
AITK-2204709-418,10,,300.0,H5,WF,Hemic,240
AITK-2204709-418,11,,330.0,H8,,Sapric,241
AITK-2204709-418,12,345.0,,B,,sl,242
AITK-2204722-120,1,0.0,167.0,H7,WF,Sapric,243
AITK-2204722-120,2,167.0,,B,,l w/pebbles,244
AITK-2204727-520,1,0.0,225.0,H7,WF,Sapric,245
AITK-2204727-520,2,225.0,,B,,Min.soil,246
AITK-2204731-431,1,,30.0,H4,RS,Hemic,247
AITK-2204731-431,2,60.0,,B,,fs,248
AITK-2204732-432,1,,30.0,H5,RS/M,Hemic,249
AITK-2204732-432,2,,60.0,H4,M/RS/WF,Hemic,250
AITK-2204732-432,3,,90.0,H6,M/RS,Hemic,251
AITK-2204732-432,4,,120.0,H6,M/RS,Hemic,252
AITK-2204732-432,5,,150.0,H6,RS,Hemic,253
AITK-2204732-432,6,,180.0,H5,RS,Hemic,254
AITK-2204732-432,7,,210.0,H5,RS,Hemic,255
AITK-2204732-432,8,210.0,,B,,Min.soil,256
AITK-2204735-433,1,,30.0,H4,,Hemic,257
AITK-2204735-433,2,,60.0,H5,,Hemic,258
AITK-2204735-433,3,,90.0,H6,,Hemic,259
AITK-2204735-433,4,,120.0,H4,RS,Hemic,260
AITK-2204735-433,5,,150.0,H4,RS,Hemic,261
AITK-2204735-433,6,,180.0,H3,RS,Fibric,262
AITK-2204735-433,7,,210.0,H6,,Hemic,263
AITK-2204735-433,8,,240.0,H7,,Sapric,264
AITK-2204735-433,9,,270.0,H7,,Sapric,265
AITK-2204735-433,10,300.0,315.0,B,,Limnic,266
AITK-2204735-433,11,315.0,,,,sil w/pebbles,267
AITK-2204803-378,1,,30.0,H4,,Hemic,268
AITK-2204803-378,2,45.0,,B,,sil,269
AITK-2204804-390,1,0.0,45.0,H5,RS,Hemic,270
AITK-2204804-390,2,45.0,,B,,ms,271
AITK-2204804-391,1,,30.0,H5,RS,Hemic,272
AITK-2204804-391,2,,60.0,H5,RS,Hemic,273
AITK-2204804-391,3,,90.0,H5,RS,Hemic,274
AITK-2204804-391,4,,120.0,H5,RS,Hemic,275
AITK-2204804-391,5,,150.0,H6,RS,Hemic,276
AITK-2204804-391,6,180.0,,B,,fsl,277
AITK-2204806-388,1,,30.0,H4,RS,Hemic,278
AITK-2204806-388,2,,60.0,H4,RS/WF,Hemic,279
AITK-2204806-388,3,,120.0,H4,RS/WF,Hemic,280
AITK-2204806-388,4,,150.0,H5,RS,Hemic,281
AITK-2204806-388,5,180.0,,B,,scl,282
AITK-2204807-387,1,,30.0,H4/H5,RS,Hemic,283
AITK-2204807-387,2,,90.0,H4,RS,Hemic,284
AITK-2204807-387,3,,120.0,H5,RS,Hemic,285
AITK-2204807-387,4,,150.0,H4,RS,Hemic,286
AITK-2204807-387,5,150.0,,B,,cl,287
AITK-2204808-389,1,,30.0,H4,RS,Hemic,288
AITK-2204808-389,2,,60.0,H4,RS,Hemic,289
AITK-2204808-389,3,,90.0,H5,RS,Hemic,290
AITK-2204808-389,4,,120.0,H4,RS,Hemic,291
AITK-2204808-389,5,,150.0,H4,RS,Hemic,292
AITK-2204808-389,6,,180.0,H6,RS,Hemic,293
AITK-2204808-389,7,,210.0,H7,,Sapric,294
AITK-2204808-389,8,215.0,,B,,ls,295
AITK-2204809-63,1,0.0,270.0,H4,RS/M,Hemic,296
AITK-2204809-63,2,270.0,600.0,B,,Limnic,297
AITK-2204809-63,3,600.0,720.0,,,Limnic w/ c,298
AITK-2204809-63,4,720.0,810.0,,,c w/ Limnic,299
AITK-2204809-64,1,0.0,120.0,H5,RS,Hemic,300
AITK-2204809-64,2,120.0,180.0,H3,RS,Fibric,301
AITK-2204809-64,3,180.0,225.0,B,,Limnic,302
AITK-2204809-64,4,225.0,,,,cos w/ g,303
AITK-2204812-377,1,,180.0,H5,,Hemic,304
AITK-2204812-377,2,,210.0,H5,,Hemic,305
AITK-2204812-377,3,,240.0,H7,,Sapric,306
AITK-2204812-377,4,0.0,150.0,H4,,Hemic,307
AITK-2204812-377,5,270.0,,B,,sil,308
AITK-2204815-56,1,0.0,120.0,H7,RS,Sapric,309
AITK-2204815-56,2,120.0,,B,,fs - ms,310
AITK-2204815-57,1,0.0,120.0,H5,RS,Hemic,311
AITK-2204815-57,2,120.0,210.0,H6,RS,Hemic,312
AITK-2204815-57,3,210.0,300.0,H7,RS,Sapric,313
AITK-2204815-57,4,300.0,360.0,B,,Limnic,314
AITK-2204815-57,5,360.0,375.0,,,Limnic w/ sic,315
AITK-2204815-57,6,375.0,,,,fs,316
AITK-2204817-386,1,,30.0,H4,RS,Hemic,317
AITK-2204817-386,2,,60.0,H4,RS,Hemic,318
AITK-2204817-386,3,,90.0,H5,RS/WF,Hemic,319
AITK-2204817-386,4,,120.0,H6,RS,Hemic,320
AITK-2204817-386,5,,150.0,H8,RS,Sapric,321
AITK-2204817-386,6,150.0,,B,,Min.soil,322
AITK-2204818-385,1,0.0,30.0,H4,RS,Hemic,323
AITK-2204818-385,2,30.0,,B,,fs,324
AITK-2204834-416,1,,30.0,H7,,Sapric,325
AITK-2204834-416,2,,60.0,H6,,Hemic,326
AITK-2204834-416,3,,90.0,H4,WF,Hemic,327
AITK-2204834-416,4,,120.0,H6,,Hemic,328
AITK-2204834-416,5,,150.0,H7,,Sapric,329
AITK-2204834-416,6,,180.0,H6,WF/RS,Hemic,330
AITK-2204834-416,7,,210.0,H5,,Hemic,331
AITK-2204834-416,8,240.0,,B,,scl,332
AITK-2204903-139,1,,45.0,H8,,Sapric,333
AITK-2204903-139,2,,85.0,H8,,Sapric,334
AITK-2204903-139,3,90.0,,B,,ms,335
AITK-2204903-66,1,0.0,30.0,H8,,Sapric,336
AITK-2204903-66,2,30.0,60.0,B,,si w/ organic material,337
AITK-2204903-66,3,60.0,,,,si,338
AITK-2204910-140,1,,60.0,H5,RS,Hemic,339
AITK-2204910-140,2,,90.0,H5,RS,Hemic,340
AITK-2204910-140,3,,120.0,H5,RS/WF,Hemic,341
AITK-2204910-140,4,,150.0,H5,RS,Hemic,342
AITK-2204910-140,5,,180.0,H5,M,Hemic,343
AITK-2204910-140,6,,210.0,H4,M,Hemic,344
AITK-2204910-140,7,,240.0,H4,M/RS,Hemic,345
AITK-2204910-140,8,,270.0,H4,M/RS,Hemic,346
AITK-2204910-140,9,300.0,,B,,s,347
AITK-2204910-65,1,0.0,106.0,H8,,Sapric,348
AITK-2204910-65,2,106.0,,B,,fs,349
AITK-2204917-372,1,,30.0,H7,,Sapric,350
AITK-2204917-372,2,,60.0,H8,,Sapric,351
AITK-2204917-372,3,60.0,,B,,fs,352
AITK-2204926-376,1,,30.0,H4,RS,Hemic,353
AITK-2204926-376,2,,60.0,H4,,Hemic,354
AITK-2204926-376,3,,90.0,H4,,Hemic,355
AITK-2204926-376,4,,120.0,H5,,Hemic,356
AITK-2204926-376,5,150.0,,B,,sic,357
AITK-2204928-373,1,,30.0,H4,RS,Hemic,358
AITK-2204928-373,2,,60.0,H5,RS,Hemic,359
AITK-2204928-373,3,,75.0,H7,,Sapric,360
AITK-2204928-373,4,90.0,,B,,fsl,361
AITK-2204933-374,1,,30.0,H2,M,Fibric,362
AITK-2204933-374,2,,60.0,,,No sample,363
AITK-2204933-374,3,,90.0,H4,,Hemic,364
AITK-2204933-374,4,,120.0,H5,RS,Hemic,365
AITK-2204933-374,5,,150.0,H5,,Hemic,366
AITK-2204933-374,6,,180.0,H4,WF,Hemic,367
AITK-2204933-374,7,,210.0,H4,,Hemic,368
AITK-2204933-374,8,,240.0,H5,,Hemic,369
AITK-2204933-374,9,270.0,,B,,sic,370
AITK-2204934-375,1,,30.0,H4,RS,Hemic,371
AITK-2204934-375,2,,60.0,H5,,Hemic,372
AITK-2204934-375,3,,90.0,H4,,Hemic,373
AITK-2204934-375,4,,120.0,H5,,Hemic,374
AITK-2204934-375,5,,150.0,H4,,Hemic,375
AITK-2204934-375,6,,180.0,H4,,Hemic,376
AITK-2204934-375,7,,210.0,H7,,Sapric,377
AITK-2204934-375,8,225.0,,B,,sic,378
AITK-2205001-144,1,,30.0,H6,,Hemic,379
AITK-2205001-144,2,60.0,,B,,sic,380
AITK-2205001-145,1,0.0,75.0,H6,RS,Hemic,381
AITK-2205001-145,2,75.0,,B,,si,382
AITK-2205003-136,1,,30.0,H4,RS,Hemic,383
AITK-2205003-136,2,,60.0,H5,WF/RS,Hemic,384
AITK-2205003-136,3,,90.0,H5,RS,Hemic,385
AITK-2205003-136,4,,120.0,H5,RS,Hemic,386
AITK-2205003-136,5,,150.0,H6,RS,Hemic,387
AITK-2205003-136,6,,180.0,H5,RS,Hemic,388
AITK-2205003-136,7,,240.0,H5,RS,Hemic,389
AITK-2205003-136,8,,270.0,H6,RS,Hemic,390
AITK-2205003-136,9,300.0,,B,,l,391
AITK-2205005-148,1,0.0,30.0,H5,WF/RS,Hemic,392
AITK-2205005-148,2,30.0,60.0,H3,RS,Fibric,393
AITK-2205005-148,3,60.0,90.0,H4,RS,Hemic,394
AITK-2205005-148,4,90.0,120.0,H3,RS,Fibric,395
AITK-2205005-148,5,120.0,150.0,H4,RS,Hemic,396
AITK-2205005-148,6,150.0,180.0,H4,WF/RS,Hemic,397
AITK-2205005-148,7,180.0,,B,,vfs,398
AITK-2205010-137,1,,30.0,H3,RS,Fibric,399
AITK-2205010-137,2,,60.0,H5,RS,Hemic,400
AITK-2205010-137,3,,90.0,H5,RS,Hemic,401
AITK-2205010-137,4,,120.0,H5,RS,Hemic,402
AITK-2205010-137,5,,180.0,H4,RS,Hemic,403
AITK-2205010-137,6,,195.0,H5,RS,Hemic,404
AITK-2205010-137,7,225.0,,B,,sl,405
AITK-2205012-142,1,,30.0,H5,RS,Hemic,406
AITK-2205012-142,2,,90.0,H4,RS,Hemic,407
AITK-2205012-142,3,,150.0,H3,RS,Hemic,408
AITK-2205012-142,4,165.0,,B,,Min.soil,409
AITK-2205012-143,1,,30.0,H5,RS,Hemic,410
AITK-2205012-143,2,,60.0,H5,RS,Hemic,411
AITK-2205012-143,3,,90.0,H3,RS/M,Fibric,412
AITK-2205012-143,4,,120.0,H4,RS,Hemic,413
AITK-2205012-143,5,135.0,,B,,sic,414
AITK-2205013-141,1,,60.0,H4,RS,Hemic,415
AITK-2205013-141,2,,90.0,H5,RS,Hemic,416
AITK-2205013-141,3,,150.0,H5,WF/RS,Hemic,417
AITK-2205013-141,4,,180.0,H3,RS,Fibric,418
AITK-2205013-141,5,,210.0,H3,RS,Fibric,419
AITK-2205013-141,6,225.0,,B,,sic,420
AITK-2205015-138,1,,30.0,H3,RS/WF,Fibric,421
AITK-2205015-138,2,,90.0,H3,RS/WF,Fibric,422
AITK-2205015-138,3,,120.0,H6,RS,Hemic,423
AITK-2205015-138,4,,150.0,H4,RS,Hemic,424
AITK-2205015-138,5,,210.0,H5,RS,Hemic,425
AITK-2205015-138,6,240.0,300.0,B,,Limnic,426
AITK-2205015-138,7,300.0,,,,si,427
AITK-2205104-125,1,0.0,150.0,H5,RS,Hemic,428
AITK-2205104-125,2,150.0,210.0,H4,RS/M,Hemic,429
AITK-2205104-125,3,210.0,240.0,H6,RS,Hemic,430
AITK-2205104-125,4,240.0,,B,,vfs,431
AITK-2205104-159,1,0.0,120.0,H6,RS,Hemic,432
AITK-2205104-159,2,120.0,,B,,fs,433
AITK-2205105-158,1,0.0,180.0,H5,RS,Hemic,434
AITK-2205105-158,2,180.0,,B,,si,435
AITK-2205105-160,1,0.0,90.0,H6,RS,Hemic,436
AITK-2205105-160,2,90.0,,B,,vfs,437
AITK-2205106-163,1,0.0,90.0,H5,RS,Hemic,438
AITK-2205106-163,2,90.0,150.0,H6,RS,Hemic,439
AITK-2205106-163,3,150.0,225.0,H7,RS,Sapric,440
AITK-2205106-163,4,225.0,,B,,cosi,441
AITK-2205108-156,1,,30.0,H3,RS,Fibric,442
AITK-2205108-156,2,,60.0,H3,RS,Fibric,443
AITK-2205108-156,3,,90.0,H4,RS,Hemic,444
AITK-2205108-156,4,105.0,,B,,fs and cos,445
AITK-2205108-157,1,,30.0,H5,RS,Hemic,446
AITK-2205108-157,2,,45.0,H4,RS,Hemic,447
AITK-2205108-157,3,,75.0,H4,RS,Hemic,448
AITK-2205108-157,4,,135.0,H4,RS/WF,Hemic,449
AITK-2205108-157,5,,165.0,H4,RS,Hemic,450
AITK-2205108-157,6,,195.0,H8,,Sapric,451
AITK-2205108-157,7,200.0,,B,,fs,452
AITK-2205109-126,1,0.0,120.0,H5,RS,Hemic,453
AITK-2205109-126,2,120.0,,B,,cosi,454
AITK-2205110-1,1,0.0,40.0,H6,RS,Hemic,455
AITK-2205110-1,2,40.0,102.0,H7,,Sapric,456
AITK-2205110-1,3,102.0,118.0,B,,si,457
AITK-2205110-1,4,118.0,,,,fs,458
AITK-2205110-17,1,0.0,180.0,H5,RS,Hemic,459
AITK-2205110-17,2,180.0,240.0,H6,RS,Hemic,460
AITK-2205110-17,3,240.0,285.0,H8,,Sapric,461
AITK-2205110-17,4,285.0,315.0,H4,RS,Hemic,462
AITK-2205110-17,5,315.0,350.0,B,,Limnic,463
AITK-2205110-17,6,350.0,,,,Bedrock,464
AITK-2205111-15,1,0.0,130.0,H5,RS,Hemic,465
AITK-2205111-15,2,130.0,150.0,H6,RS,Hemic,466
AITK-2205111-15,3,150.0,,B,,fs,467
AITK-2205112-16,1,0.0,125.0,H5,RS,Hemic,468
AITK-2205112-16,2,125.0,128.0,H6,,Hemic,469
AITK-2205112-16,3,128.0,,B,,vfs - si,470
