DNR Peat Inventory ID #,Peatland Name,Additional Site Info,Landform Pattern,Peatland Classification,Site Vegetation,Surface Microrelief,Depth to Water Table,Measured Elevation
CARL-1904827-A0-200,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 70% cover; sparse tamarack.,40cm,10cm,
CARL-1904827-A0-300,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Bog drain of crested raised bog,Forested bog,Black spruce forest with 60% cover; sparse tamarack.,40cm,5cm,
CARL-1904827-A0-400,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Bog drain of crested raised bog,Forested bog,Black spruce forest with 65% cover.,,,
CARL-1904827-A0-500,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 80% cover.,30cm,Below surface,
CARL-1904827-A0-600,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Black spruce forest with 70% cover.,40cm,Below surface,
CARL-1904827-A0-700,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crest of raised bog,Forested bog,Black spruce forest with 55% cover.,40cm,5cm,
CARL-1904827-A0-800,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Stunted black spruce with 25% cover; sparse tamarack.,60cm,10cm,
CARL-1904827-A0-900,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Stunted black spruce with 25% cover; sparse tamarack.,90cm,10cm,
CARL-1904827-A1200-155,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 85% cover.,30cm,5cm,
CARL-1904827-A1200-255,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 75% cover.,35cm,10cm,
CARL-1904827-A1200-355,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 80% cover.,35cm,Below surface,
CARL-1904827-A1200-455,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Black spruce forest with 80% cover.,,,
CARL-1904827-A1200-55,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Stunted black spruce forest with 85% cover.,30cm,,
CARL-1904827-A1200-555,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce forest with 80% cover.,30cm,Below surface,
CARL-1904827-A1200-655,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce forest with 80% cover.,,Below surface,
CARL-1904827-A1200-755,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce forest with 85% cover.,35cm,,
CARL-1904827-A1200-855,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce forest with 80% cover.,,,
CARL-1904827-A465+0,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Stunted black spruce with 30% cover; sparse tamarack.,50cm,10cm,
CARL-1904827-A465+100,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Stunted black spruce forest with 45% cover; sparse tamarack.,,,
CARL-1904827-A465+200,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Stunted black spruce forest with 60% cover; sparse tamarack.,,,
CARL-1904827-A465-100,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,Stunted black spruce with 25% cover; sparse tamarack.,40cm,10cm,
CARL-1904827-A465-200,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Stunted black spruce with 40% cover; sparse tamarack.,40cm,10cm,
CARL-1904827-A465-300,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crest of raised bog,Forested bog,Black spruce forest with 60% cover.,40cm,10cm,
CARL-1904827-A465-400,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crest of raised bog,Forested bog,Black spruce forest with 50% cover.,50cm,10cm,
CARL-1904827-A465-500,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crest of raised bog,Forested bog,Black spruce forest with 60% cover.,50cm,15cm,
CARL-1904827-A465-600,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Edge of crested raised bog,Forested bog,Stunted black spruce with 35% cover.,50cm,10cm,
CARL-1904827-A465-700,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Bog,,30cm,10cm,
CARL-1904827-A465-800,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Bog,Sparse black spruce and tamarack.,30cm,10cm,
CARL-1904827-A890+-0,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Bog drain of crested raised bog,Forested bog,Stunted black spruce with 35% cover; scattered tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*); few sedges (Carex oligosperma).  Continuous sphagnum carpet.,40cm,10cm,
CARL-1904827-A890+100,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Stunted black spruce forest with 45% cover; sparse tamarack.,,,
CARL-1904827-A890+200,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Stunted black spruce forest with 50% cover; sparse tamarack.,,,
CARL-1904827-A890+300,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce forest with 60% cover; sparse tamarack.,,,
CARL-1904827-A890-100,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,"Black spruce forest with 85% cover.  Understory includes some ericaceous shrubs (Labrador tea*); few sedges (Carex pauciflora), bog forbs, and cotton grass.  Continuous sphagnum carpet.",,,
CARL-1904827-A890-200,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Bog drain of crested raised bog,Forested bog,,,,
CARL-1904827-A890-300,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,,,,
CARL-1904827-A890-400,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,,,,
CARL-1904827-A890-500,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Crested raised bog,Forested bog,,,,
CARL-1904827-A890-600,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,,,,
CARL-1904827-A890-700,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce forest with 85% cover.,35cm,Below surface,
CARL-1904827-A890-800,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Stunted black spruce forest with 75% cover.,,,
CARL-1904827-A890-900,Kettle Lake,Kettle Lake Peatland Preliminary Survey,Raised bog,Forested bog,Black spruce forest with 70% cover; sparse tamarack.,,,
CARL-1904828-227,Kettle Lake,,Crested raised bog,Open bog,Sparse tamarack and black spruce.  Understory includes some ericaceous shrubs (leatherleaf*); few cotton grass.  Continuous sphagnum carpet.,40cm,10cm,
CARL-1904828-264,Kettle Lake,,Crested raised bog,Forested bog,"Stunted black spruce with 35% cover; scattered tamarack; sparse white pine.  Understory dominated by ericaceous shrubs (Labrador tea*, leatherleaf*); few cotton grass.  Continuous sphagnum carpet.",40cm,At surface,
CARL-1904828-325,Kettle Lake,,Raised bog,Forested bog,Stunted black spruce with 40% cover; sparse tamarack.  Understory includes many ericaceous shrubs; few cotton grass and wooded bog forbs.  Continuous sphagnum carpet; few feathermosses.,40cm,10cm,
CARL-1904828-326,Kettle Lake,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*); some forbs (false Solomon's seal); few cotton grass.  Continuous sphagnum carpet.,30cm,10cm,
CARL-1904828-327,Kettle Lake,,Raised bog,Forested bog,"Stunted black spruce with 40% cover; sparse tamarack.  Understory includes some ericaceous shrubs (Labrador tea*), sedges (Carex trisperma), and forbs (false Solomon's seal); few cotton grass. Continuous sphagnum carpet; few feathermosses.",30cm,10cm,
CARL-1904828-328,Kettle Lake,,,Transition,Black spruce and tamarack forest with 50% and 25% cover respectively. Understory includes few ericaceous shrubs (Labrador tea). Discontinuous sphagnum carpet; some feathermosses.,15cm,20cm,
CARL-1904828-329,Kettle Lake,,,Bog,Scattered black spruce; sparse tamarack.  Understory includes some ericaceous shrubs (leatherleaf*); few cotton grass and wooded bog forbs.  Continuous sphagnum carpet.,40cm,15cm,
CARL-1904828-330,Kettle Lake,,,Forested bog,Black spruce forest with 35% cover; sparse tamarack.  Understory includes many ericaceous shrubs (Labrador tea*); few sedges (Carex trisperma) and cotton grass.  Continuous sphagnum carpet.,40cm,At surface,
CARL-1904830-221,,,Crested raised bog,Bog,Scattered black spruce; sparse tamarack.  Understory includes many ericaceous shrubs; few cotton grass and sedges.  Continuous sphagnum carpet.,35cm,15cm,
CARL-1904830-224,,,Raised bog,Open bog,Cover includes some ericaceous shrubs (leatherleaf*) and forbs (false Solomon's seal); few cotton grass.  Continuous sphagnum carpet.,35cm,15cm,
CARL-1904830-263,,,Crested raised bog,Forested bog,"Stunted black spruce with 75% cover; sparse tamarack.  Understory dominated by ericaceous shrubs (Labrador tea*, lingenberry). Continuous sphagnum carpet.",30cm,10cm,
CARL-1904831-220,,,Raised bog,Open bog,"Sparse black spruce and tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*, cranberry*); few cotton grass. Continuous sphagnum carpet.",35cm,At surface,
CARL-1904902-624,,,,Forested swamp,"Balsam fir forest with 30% cover; scattered black ash; sparse paper birch, northern white cedar, and maple.  Understory includes some forbs; few sedges.  Some feathermosses.",40cm,Not visible,
CARL-1904903-625,,,,Forested swamp,"Scattered black ash, black spruce, and balsam fir; sparse paper birch.  Understory includes some forbs; few sedges, shrubs (willow), grasses, and ericaceous shrubs.  Some feathermosses and sphagnum mosses.",40cm,At surface,
CARL-1904906-151,,,,Transition (disturbed - near ditch),"Black spruce forest with 60% cover; scattered tamarack; sparse aspen, white pine, and balsam fir.  Understory includes some ericaceous shrubs (Labrador tea*).",20cm,Not visible,
CARL-1904906-200,,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*); some cotton grass. Continuous sphagnum carpet.,30cm,At surface,
CARL-1904906-201,,,Raised bog,Open bog,Sparse tamarack and black spruce.  Understory dominated by ericaceous shrubs (Labrador tea*); some cotton grass.  Continuous sphagnum carpet.,,,
CARL-1904906-236,,,,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs; some cotton grass.  Continuous sphagnum carpet.,60cm,At surface,
CARL-1904909-147,,,,Transition,"Tamarack forest with 35% cover; sparse balsam fir and black spruce.  Understory includes many ericaceous shrubs (Labrador tea); few other shrubs (bog birch, speckled alder).  Continuous sphagnum carpet.",,,
CARL-1904909-148,,,,Transition,Tamarack forest with 35% cover; scattered black spruce; sparse balsam fir.  Understory includes some ericaceous shrubs (Labrador tea).  Continuous sphagnum carpet.,,,
CARL-1904914-110,,,,Shrub swamp,"Scattered tamarack; sparse black spruce.  Understory dominated by shrubs (speckled alder*, dogwood); few ericaceous shrubs, forbs, and sedges.  Discontinuous feathermoss carpet; some sphagnum mosses.",20cm,5cm,
CARL-1904914-674,,,,Transition,Tamarack forest with 40% cover; scattered black spruce; sparse paper birch.  Understory includes some ericaceous shrubs (Labrador tea*); few shrubs (bob birch).  Continuous sphagnum carpet.,30cm,Not visible,
CARL-1904917-149,,,,Forested bog,Stunted black spruce with 60% cover; sparse tamarack.  Understory includes many ericaceous shrubs (Labrador tea*); few sedges. Continuous sphagnum carpet; few feathermosses.,25cm,10cm,
CARL-1904918-150,,,,Transition,Black spruce forest with 80% cover; sparse balsam fir. Understory includes few ericaceous shrubs.  Discontinuous club moss carpet.,,,
CARL-1904921-146,,,,Forested swamp,"Northern white cedar forest with 80% cover; sparse balsam fir and paper birch.  Understory includes few shrubs (speckled alder, dogwood), ericaceous shrubs, and forbs.  Discontinuous feathermoss carpet.",35cm,At surface,
CARL-1904921-646,,,,Sphagnum-rich cedar swamp,"Northern white cedar forest with 75% cover; sparse balsam fir. Understory includes some forbs; few shrubs (speckled alder, dogwood) and ericaceous shrubs.  Discontinuous sphagnum carpet; some feathermosses.",30cm,At surface,
CARL-1904922-143,,,Raised bog,Forested bog,Black spruce forest with 75% cover.  Understory includes many ericaceous shrubs; few wooded bog forbs.  Continuous sphagnum carpet; few feathermosses.,25cm,At surface,
CARL-1904922-144,,,,Forested bog,Black spruce forest with 50% cover; sparse tamarack. Understory includes some ericaceous shrubs (Labrador tea*); few wooded bog forbs.  Continuous sphagnum carpet.,30cm,At surface,
CARL-1904922-145,,,,Disturbed (cut over),Cut over area.  Scattered tamarack; sparse paper birch. Understory includes many grasses; few ericaceous shrubs. Discontinuous sphagnum carpet.,20cm,10cm,
CARL-1904923-141,,,Raised bog,Forested bog - transition,Black spruce forest with 80% cover.  Understory includes few ericaceous shrubs and sedges.  Discontinuous feathermoss carpet; few sphagnum mosses.,30cm,Not visible,
CARL-1904923-142,,,Raised bog,Disturbed forested bog (ditch 30m),Stunted black spruce with 80% cover.  Understory includes many ericaceous shrubs (Labrador tea*); few sedges.  Discontinuous sphagnum carpet; few feathermosses.,25cm,10cm,
CARL-1904923-238,,,,Bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*); few cotton grass.  Continuous sphagnum carpet.,35cm,Not visible,
CARL-1904923-239,,,Raised bog,Open bog,Sparse black spruce.  Understory includes many ericaceous shrubs; some cotton grass.  Continuous sphagnum carpet.,20cm,Not visible,
CARL-1904923-240,,,Raised bog,Open bog,Cover includes some ericaceous shrubs (leatherleaf*) and cotton grass; few sedges.  Continuous sphagnum carpet.,,,
CARL-1904927-241,,,Raised bog,Forested bog,Black spruce forest with 80% cover.  Understory includes some forbs (false Solomon's seal); few ericaceous shrubs and sedges. Continuous sphagnum carpet.,20cm,10cm,
CARL-1904928-584,,,,Tamarack swamp,"Tamarack forest w/ 20% cover. Understory includes many shrubs (bog birch, speckled alder, willow), forbs (swamp cinquefol, horsetail, ferns) & sedges (broad-leaved Carex, C. paupercula); some grasses; few ericaceous shrubs. Some sphagnum & feathermosses.",,Standing water 20+cm,
CARL-1904928-585,,,,Tamarack swamp,,,Standing water 20+cm,
CARL-1904928-586,,,,Tamarack swamp,,,Standing water 20+cm,
CARL-1904928-587,,,,Tamarack swamp,,,Standing water 20+cm,
CARL-1904929-193,,,,Open bog,Sparse black spruce.  Understory dominated by ericaceous shrubs (bog rosemary*); many cotton grass.  Continuous sphagnum carpet.,60cm,10cm,
CARL-1904929-647,,,,Shrub swamp,"Sparse black spruce and tamarack.  Understory dominated by shrubs (speckled alder*, willow*, bog birch); some broad- leaved sedges and grasses; few ericaceous shrubs and forbs. Discontinuous sphagnum carpet; few feathermosses.",25cm,At surface,
CARL-1904931-634,,,,Shrub swamp,"Sparse black spruce, northern white cedar, and tamarack. Understory dominated by shrubs (speckled alder*, dogwood, willow); many grasses; some broad-leaved sedges and forbs; few ericaceous shrubs.  Some sphagnum mosses; few feathermosses.",20cm,At surface,
CARL-1904931-635,,,,Black spruce swamp,"Black spruce forest with 50% cover; sparse northern white cedar. Understory includes many grasses, forbs, and shrubs (speckled alder); few broad-leaved sedges.  Few feathermosses.",10cm,At surface,
CARL-2004611-313,,,,Shrub swamp,Scattered ash and aspen.  Understory dominated by broad-leaved grasses; many shrubs (willow).,,,
CARL-2004613-534,,,,,"Black spruce forest with 50% cover.  Understory includes some ericaceous shrubs (Labrador tea); few shrubs (speckled alder, willow, bog birch), forbs, grasses, and sedges.  Continuous sphagnum carpet.",25cm,At surface,
CARL-2004613-535,,,,,"Aspen with 50% cover; sparse paper birch and black spruce. Understory includes many grasses and forbs; few shrubs (speckled alder, willow) and ericaceous shrubs.  Some sphagnum mosses.",15cm,At surface,
CARL-2004615-565,,Several boulders on surface in the area,,Black ash swamp,,30cm,Above surface,
CARL-2004615-675,,Boulders on surface,,,"Black spruce forest with 50% cover; sparse paper birch. Understory includes some forbs; few shrubs (speckled alder, willow) and sedges.  Discontinuous feathermoss carpet; some other mosses.",30cm,At surface,
CARL-2004619-312,,,,Shrub swamp,"Sparse ash.  Understory dominated by broad-leaved grasses; many shrubs (willow*, speckled alder, dogwood); few forbs. Few feathermosses.",Negligible,Above surface,
CARL-2004620-569,,,Raised bog,Forested bog - transition,Forested bog vegetation with few sedges (Carex chordorizza).,40cm,10cm above surface,
CARL-2004620-570,,,,Forested bog - transition,Forested bog vegetation with few sedges (Carex chordorizza).,40cm,5cm above surface,
CARL-2004620-571,,,Raised bog,Bog,,30cm,5cm above surface,
CARL-2004620-572,,,Water track,Poor fen,"Sparse black spruce and tamarack.  Understory includes many sedges (broad-leaved Carex*, C. chordorizza); some shrubs (bog birch) and ericaceous shrubs (leatherleaf).  Discontinuous sphagnum carpet.",20cm,20cm above surface,
CARL-2004703-353,,,,,,,,
CARL-2004703-354,,,,Forested bog,Black spruce forest with 35% cover; scattered tamarack. Understory includes some ericaceous shrubs (Labrador tea*) and sedges (Carex trisperma); few wooded bog forbs.  Continuous sphagnum carpet; few feathermosses.,25cm,15cm,
CARL-2004703-355,,,,Forested bog,Stunted black spruce with 40% cover; scattered tamarack.  Continuous sphagnum carpet.,,,
CARL-2004703-356,,,,Forested bog,Black spruce forest with 20% cover; scattered tamarack. Understory includes many ericaceous shrubs; some sedges (Carex trisperma); few wooded bog forbs and cotton grass.  Continuous sphagnum carpet.,20cm,10cm,
CARL-2004703-357,,,,Transition,Tall tamarack forest with some black spruce.  Continuous sphagnum moss carpet.,,,
CARL-2004703-358,,,,Forested bog,Scattered black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*); some cotton grass.  Continuous sphagnum carpet.,35cm,10cm,
CARL-2004703-359,,,,Forested bog,"Stunted black spruce with 35% cover; scattered tamarack. Understory includes many ericaceous shrubs; few cotton grass, wooded bog forbs, and sedges (Carex trisperma).  Continuous sphagnum carpet; few feathermosses.",35cm,10cm,
CARL-2004703-360,,,,,Wooded with black spruce and tamarack; continuous sphagnum moss cover.,,,
CARL-2004706-306,,,,Bog,Scattered black spruce; sparse tamarack and paper birch. Understory dominated by ericaceous shrubs (leatherleaf*); few cotton grass.  Continuous sphagnum carpet.,30cm,10cm,
CARL-2004706-373,,Site just south of powerline,,Transition,"Scattered black spruce and tamarack.  Understory includes many shrubs (willow, dogwood, bog birch); some ericaceous shrubs (Labrador tea*) and sedges (Carex trisperma); few forbs. Continuous sphagnum carpet.",30cm,10cm,
CARL-2004706-374,,Site just south of powerline,,Disturbed - near powerline,"Scattered black spruce; sparse tamarack and paper birch. Understory includes many shrubs (willow*, dogwood) and forbs (herbaceous); some grasses; few ericaceous shrubs.  Discontinuous sphagnum carpet; some feathermosses.",20cm,At surface,
CARL-2004707-335,,,Raised bog,Transition,"Scattered black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*) and sedges (Carex oligosperma, broad-leaved C., Eleocharis sp.); some cotton grass; few bog forbs.  Continuous sphagnum carpet; few feathermosses.",30cm,5cm,
CARL-2004707-336,,,,Transition - poor fen,"Scattered tamarack & black spruce. Understory w/ many sedges (Carex paupercula, C. chordorrhiza, C. paufiflora); some ericaceous shrubs (leatherleaf*), shrubs (bog birch*, speckled alder), cotton grass, forbs (false Solomon's seal*). Sphagnum carpet.",30cm,5cm,
CARL-2004710-314,,,,Transition,Stunted tamarack with 35% cover; sparse black spruce.  Understory includes many grasses; some shrubs (willow); few ericaceous shrubs. Continuous sphagnum carpet.,15cm,At surface,
CARL-2004722-338,,,,Transition,"Black spruce forest with 25% cover; sparse tamarack.  Understory includes many ericaceous shrubs; some other shrubs (willow*, bog birch), sedges (Carex chordorrhiza*, C. trisperma); few forbs. Continuous sphagnum carpet; few feathermosses.",20cm,At surface,
CARL-2004722-339,,,,Forested swamp,Scattered black ash.  Understory includes some shrubs (speckled alder).,,Above surface,
CARL-2004722-340,,,,Forested swamp,Black ash swamp,,Above surface,
CARL-2004722-341,,,,Forested swamp,"Black ash forest with 35% cover.  Understory includes many shrubs (speckled alder*, willow, dogwood, Spirea sp.); some grasses, sedges; few ericaceous shrubs and forbs.  Few feathermosses and sphagnum mosses.",Negligible,At surface,
CARL-2004722-342,,,,,,,,
CARL-2004722-343,,,,Shrub swamp,"Scattered tamarack and black ash; sparse black spruce.  Understory includes many shrubs (speckled alder*, willow); some sedges (Carex sp.); few forbs and ericaceous shrubs.  Few sphagnum mosses and feathermosses.",Negligible,At surface,
CARL-2004722-344,,Site 70 ft. south of drainage ditch,,,,,,
CARL-2004722-345,,,,Forested bog - transition,Black spruce forest with 40% cover; sparse tamarack.  Continuous sphagnum carpet.,25cm,,
CARL-2004722-346,,,,,,,,
CARL-2004723-120,,,,Shrub swamp,"Sparse ash.  Understory dominated by grasses; many shrubs (willow*, dogwood).  Few sphagnum mosses.",15cm,Above surface,
CARL-2004723-347,,,,,,,,
CARL-2004723-348,,,,Forested bog,"Black spruce forest with 45% cover; sparse tamarack.  Understory includes some ericaceous shrubs (Labrador tea*); few sedges (Carex trisperma, C. pauciflora) and wooded bog forbs.  Continuous sphagnum carpet; few feathermosses.",25cm,Not visible,
CARL-2004723-349,,,,Transition,"Scattered black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*); some other shrubs (willow*, speckled alder, bog birch); few sedges (Carex trisperma) and forbs.  Continuous sphagnum carpet; few feathermosses.",20cm,5cm,
CARL-2004723-350,,,,,"Site in shrubs, outside of black spruce island.",,,
CARL-2004801-653,,,,Willow swamp (near ditch),"Sparse aspen.  Understory dominated by shrubs (willow*, bog birch); many forbs; some grasses and broad-leaved sedges; few ericaceous shrubs.  Few feathermosses.",15cm,Not visible,
CARL-2004802-638,,,,Black ash swamp,"Black ash forest with 35% cover.  Understory includes many shrubs (speckled alder); some sedges, forbs, and grasses. Discontinuous feathermoss carpet.",15cm,Not visible,
CARL-2004802-654,,,,Disturbed (near ditch),"Scattered tamarack.  Understory includes some grasses, broad-leaved sedges, and forbs; few shrubs (willow*, speckled alder, bog birch).  Few feathermosses.",15cm,Not visible,
CARL-2004802-655,,,,Disturbed (cultivated field),,,,
CARL-2004802-656,,,,Disturbed (cultivated field),,,,
CARL-2004804-163,,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes many forbs (false Solomon's seal); some ericaceous shrubs (swamp laural*); few cotton grass.  Continuous sphagnum carpet.,15cm,At surface,
CARL-2004807-122,,,,Forested bog,Stunted black spruce with 60% cover; sparse tamarack.  Understory includes many ericaceous shrubs (Labrador tea*); few other shrubs and sedges.  Continuous sphagnum carpet.,30cm,Above surface,
CARL-2004807-187,,,,Open bog - transition,Sparse black spruce.  Understory includes many ericaceous shrubs (bog rosemary*) and cotton grass; some forbs.  Continuous sphagnum carpet.,45cm,10cm,
CARL-2004807-278,,,Raised bog,Open bog - transition,Sparse black spruce.  Understory includes many ericaceous shrubs (bog rosemary*) and cotton grass; some forbs.  Continuous sphagnum carpet.,,,
CARL-2004811-114,,,,Transition,Tamarack forest with 35% cover; scattered black spruce.  Understory includes many ericaceous shrubs (Labrador tea*).  Continuous sphagnum carpet.,30cm,Not visible,
CARL-2004811-189,,,,Transition,"Stunted tamarack with 40% cover; scattered black spruce.  Understory dominated by ericaceous shrubs (Labrador tea*, leatherleaf*); few other shrubs (bog birch).  Continuous sphagnum carpet; few feathermosses.",60cm,At surface,
CARL-2004819-181,,,,Open bog,"Sparse black spruce and tamarack.  Understory dominated by ericaceous shrubs (Labrador tea*, leatherleaf*); some cotton grass.  Continuous sphagnum carpet.",50cm,At surface,
CARL-2004824-190,,,,Shrub fen,"Scattered tamarack.  Understory dominated by grasses; many shrubs (bog birch*, speckled alder, willow); some forbs (iris*); few cotton grass.  Some sphagnum mosses.",30cm,20cm above surface,
CARL-2004824-225,,,Raised bog,Open bog,Sparse tamarack.  Understory includes some ericaceous shrubs (leatherleaf*); few cotton grass.  Continuous sphagnum carpet.,30cm,10cm,
CARL-2004825-222,,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*); few cotton grass.  Continuous sphagnum carpet.,35cm,5cm,
CARL-2004825-259,,,Raised bog,Forested bog,Stunted black spruce with 40% cover; sparse tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*); few cotton grass.  Continuous sphagnum carpet.,60cm,At surface,
CARL-2004825-260,,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs (leatherleaf*); some cotton grass and forbs. Continuous sphagnum carpet.,20cm,At surface,
CARL-2004825-261,,,Crested raised bog,Forested bog,Stunted black spruce with 70% cover.  Understory dominated by ericaceous shrubs (Labrador tea*); few cotton grass.  Continuous sphagnum carpet.,60cm,At surface,
CARL-2004825-262,,,Crested raised bog,Forested bog,"Stunted black spruce with 60% cover; sparse tamarack.  Understory dominated by ericaceous shrubs (Labrador tea*, snowberry*); few cotton grass, sedges, and forbs.  Continuous sphagnum carpet.",60cm,10cm,
CARL-2004828-113,,,,Transition,Stunted tamarack with 35% cover; sparse black spruce and jack pine.  Understory includes some ericaceous shrubs (Labrador tea*). Continuous sphagnum carpet.,20cm,15cm,
CARL-2004828-665,,,,Forested bog,Black spruce forest with 65% cover; sparse tamarack.  Understory dominated by ericaceous shrubs (Labrador tea*); few cotton grass. Discontinuous sphagnum carpet; some feathermosses.,40cm,At surface,
CARL-2004832-112,,,,Forested bog,Black spruce forest with 80% cover; sparse tamarack.  Understory includes some ericaceous shrubs (Labrador tea*).  Continuous sphagnum carpet.,30cm,10cm,
CARL-2004833-331,,,Raised bog,Forested bog,Stunted black spruce with 40% cover; sparse tamarack.  Understory includes many ericaceous shrubs (Labrador tea*); few wooded bog forbs and sedges (Carex trisperma).  Continuous sphagnum carpet; few feathermosses.,30cm,10cm,
CARL-2004833-332,,,Raised bog,Forested bog,Stunted black spruce with 30% cover; scattered tamarack. Understory includes many ericaceous shrubs (leatherleaf*); some forbs (false Solomon's seal); few cotton grass.  Continuous sphagnum carpet.,50cm,10cm,
CARL-2004833-333,,,Raised bog,Forested bog,"Stunted black spruce with 45% cover; scattered tamarack. Understory includes many ericaceous shrubs; few wooded bog forbs, sedges (Carex trisperma), and cotton grass.  Continuous sphagnum carpet; few feathermosses.",35cm,10cm,
CARL-2004833-334,,,Raised bog,Forested bog,"Stunted black spruce with 50% cover; sparse tamarack.  Understory includes some ericaceous shrubs (Labrador tea*); few sedges (Carex trisperma), wooded bog forbs, and cotton grass.  Continuous sphagnum carpet; few feathermosses.",15cm,15cm,
CARL-2004834-666,,,,Transition,Black spruce forest with 30% cover; sparse tamarack.  Understory includes many cotton grass; few ericaceous shrubs and sedges (Carex pauciflora).  Continuous sphagnum carpet.,30cm,At surface,
CARL-2004834-667,,,,Disturbed (cleared area near ditch),,,,
CARL-2004835-315,,,,Bog,Scattered black spruce; sparse tamarack and paper birch. Understory dominated by ericaceous shrubs (Labrador tea); few forbs.  Continuous sphagnum carpet.,20cm,Above surface,
CARL-2004901-235,,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs; some cotton grass; few sedges.  Continuous sphagnum carpet.,40cm,5cm,
CARL-2004902-673,,,,Shrub swamp,"Cover dominated by shrubs (willow*, speckled alder*, bog birch, dogwood); some forbs, narrow-leaved sedges, and grasses; few ericaceous shrubs.  Discontinuous sphagnum carpet; some feathermosses.",20cm,Standing water,
CARL-2004906-153,,,,Open bog,Sparse black spruce.  Understory dominated by cotton grass; many ericaceous shrubs; few other shrubs (bog birch).  Continuous sphagnum carpet.,45cm,At surface,
CARL-2004907-123,,,,Transition,"Sparse tamarack and black spruce.  Understory includes few ericaceous shrubs, cotton grass, and broad-leaved sedges. Continuous sphagnum carpet; few other mosses.",25cm,At surface,
