DNR Peat Inventory ID #,Peatland Name,Additional Site Info,Landform Pattern,Peatland Classification,Site Vegetation,Surface Microrelief,Depth to Water Table,Measured Elevation
AITK-2204709-418,,,,Bog,"Scattered black spruce and tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*, Labrador tea*); few wooded bog forbs and cotton grass.  Continuous sphagnum carpet; some polytrichum mosses.",50cm,40cm,
AITK-2204722-120,,,,Forested swamp,Black ash forest with 60% cover; sparse elm.  Understory includes some grasses; few shrubs (dogwood) and forbs.,20cm,At surface,
AITK-2204727-520,,,,Forested swamp,Black ash forest with 60% cover; sparse elm.  Understory includes some grasses; few shrubs (dogwood) and forbs.,20cm,At surface,
AITK-2204731-431,,,,Shrub meadow,"Cover dominated by grasses; many shrubs (bog birch*, willow) few ericaceous shrubs.  Discontinuous sphagnum carpet; few other mosses.",10cm,15cm,
AITK-2204732-432,,,,Open bog,Sparse black spruce and paper birch.  Understory dominated by ericaceous shrubs (bog rosemary*); few cotton grass.  Continuous sphagnum carpet.,55cm,30cm,
AITK-2204735-433,,,,Shrub swamp,"Cover dominated by sedges and shrubs (speckled alder, willow); some grasses; few forbs.",15cm,At surface,
AITK-2204803-378,,,,Transition,Sparse tamarack and black spruce.  Understory dominated by ericaceous shrubs (leatherleaf*); some other shrubs (bog birch) and grasses; few wooded bog forbs. Continuous sphagnum carpet.,45cm,10cm,
AITK-2204804-390,,,,,Sparse tamarack and maple.  Understory includes many grasses; few shrubs (bog birch) and sedges.  Discontinuous sphagnum and polytrichum moss carpet.,20cm,,
AITK-2204804-391,,,,Shrub meadow,"Cover dominated by grasses; some shrubs (bog birch*, willow); few forbs.  Discontinuous sphagnum carpet.",Negligible,Just below surface,
AITK-2204806-388,,,,Meadow,"Cover dominated by grasses; some shrubs (bog birch*, willow); few forbs.",10cm,At surface,
AITK-2204807-387,,,,Disturbed - near ditch,Scattered aspen.  Understory dominated by grasses; some shrubs (willow).,,,
AITK-2204808-389,,,,Disturbed - near ditch,Cover dominated by grasses; few shrubs (willow) and forbs (cattail).,,20cm,
AITK-2204809-63,,,,Forested bog,Stunted black spruce with 35% cover; scattered tamarack; sparse paper birch.  Understory includes many ericaceous shrubs.  Continuous sphagnum carpet; few other mosses.,20cm,10cm,
AITK-2204809-64,,,,Disturbed bog - near road,Scattered tamarack; sparse black spruce.  Understory includes many ericaceous shrubs; some other shrubs and grasses.  Continuous sphagnum carpet.,30cm,10cm,
AITK-2204812-377,,,,,"Sparse tamarack.  Understory includes many ericaceous shrubs (Labrador tea*) and other shrubs (speckled alder, willow, bog birch); few forbs.  Continuous sphagnum carpet; few other mosses.",60cm,15cm,
AITK-2204815-56,,,,Disturbed - burned over,Cover dominated by grasses; few shrubs.,10cm,Just below surface,
AITK-2204815-57,,,,Disturbed - burned over,"Cover dominated by grasses; many shrubs (bog birch, willow).",10cm,At surface,
AITK-2204817-386,,,,Meadow,Cover dominated by grasses.,,At surface,
AITK-2204818-385,,,,Disturbed - near ditch,Scattered aspen.  Understory includes some shrubs (willow); few forbs. Few mosses.,,,
AITK-2204834-416,,,,Bog - transition,Scattered black spruce and tamarack; sparse jack pine.  Understory dominated by ericaceous shrubs; many cotton grass; few shrubs (bog birch) and forbs.  Continuous sphagnum carpet; some polytrichum mosses,,15cm,
AITK-2204903-139,,,,Shrub swamp,"Sparse aspen.  Understory dominated by grasses; many shrubs (willow*, speckled alder, raspberry); few forbs.",40cm,At surface,
AITK-2204903-66,,,,Shrub swamp,"Sparse tamarack.  Understory dominated by grasses; many shrubs (speckled alder, willow, dogwood); few ericaceous shrubs.",15cm,5cm above surface,
AITK-2204910-140,,,,Meadow,Cover dominated by grasses; some ericaceous shrubs (leatherleaf); few other shrubs (willow) and forbs.,60cm,At surface,
AITK-2204910-65,,,,Forested swamp,"Stunted tamarack with 35% cover; sparse black spruce.  Understory includes many ericaceous shrubs (leatherleaf*) and other shrubs (speckled alder, bog birch).  Discontinuous moss carpet; few sphagnum mosses.",20cm,10cm above surface,
AITK-2204917-372,,,,,Cover dominated by sedges and grasses; few shrubs (willow).  Some mosses.,10cm,At surface,
AITK-2204926-376,,,,Bog,Scattered black spruce; sparse tamarack.  Understory includes many ericaceous shrubs; few cotton grass.  Continuous sphagnum carpet.,60cm,15cm,
AITK-2204928-373,,,,,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs and grasses; few cotton grass.  Discontinuous sphagnum carpet.,45cm,10cm,
AITK-2204933-374,,,Raised bog,Open bog,Sparse black spruce and tamarack.  Understory includes many ericaceous shrubs; few other shrubs (bog birch).  Continuous sphagnum carpet.,60cm,91cm,
AITK-2204934-375,,,,Forested bog,"Scattered black spruce and tamarack.  Understory dominated by ericaceous shrubs (leatherleaf*), few cotton grass.  Continuous sphagnum carpet; some polytrichum mosses.",,,
AITK-2205001-144,,,,Shrub swamp,"Sparse tamarack.  Understory dominated by grasses; many shrubs (bog birch*, speckled alder); few ericaceous shrubs.  Continuous sphagnum carpet.",20cm,At surface,
AITK-2205001-145,,,,,"Sparse tamarack.  Understory dominated by ericaceous shrubs (leatherleaf); many other shrubs (bog birch*, willow, speckled alder). Some mosses.",35cm,At surface,
AITK-2205003-136,,,,Transition,"Sparse tamarack.  Understory dominated by ericaceous shrubs (leather- leaf*); few shrubs (bog birch, willow) and reeds.  Discontinuous sphagnum carpet.",,Transition,
AITK-2205005-148,,,,Disturbed - near ditch,"Sparse tamarack.  Understory dominated by grasses; many shrubs (bog birch*, willow, speckled alder); few ericaceous shrubs.  Some mosses.",10cm,At surface,
AITK-2205010-137,,,,Open bog,Sparse tamarack and black spruce.  Understory includes many cotton grass; some ericaceous shrubs (leatherleaf*).  Discontinuous sphagnum carpet.,45cm,At surface,
